donor	arm	locus	gene	level	picks	quality	truth_haplotypes	called	correct	allele_matches	sources
HG00558	full-ens	HLA-DRB345	DRB4	g_group	HG01258.2,HG02083.2	7.65	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB345	DRB4	cds_exact	HG01258.2,HG02083.2	7.65	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB345	DRB4	gene_exact	HG01258.2,HG02083.2	7.65	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB345	DRB5	two_field	HG01258.2,HG02083.2	7.65	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB345	DRB5	g_group	HG01258.2,HG02083.2	7.65	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB345	DRB5	cds_exact	HG01258.2,HG02083.2	7.65	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00558	full-ens	HLA-DRB345	DRB5	gene_exact	HG01258.2,HG02083.2	7.65	HG00558.1,HG00558.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-A	A	two_field	NA18565.1,NA18974.1	6.98	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-A	A	g_group	NA18565.1,NA18974.1	6.98	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-A	A	cds_exact	NA18565.1,NA18974.1	6.98	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-A	A	gene_exact	NA18565.1,NA18974.1	6.98	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-B	B	two_field	HG00597.2,HG00558.1~B_40-559	6.87	HG00609.1,HG00609.2	1	0	1	backbone,ipd_near
HG00609	full-ens	HLA-B	B	g_group	HG00597.2,HG00558.1~B_40-559	6.87	HG00609.1,HG00609.2	1	0	1	backbone,ipd_near
HG00609	full-ens	HLA-B	B	cds_exact	HG00597.2,HG00558.1~B_40-559	6.87	HG00609.1,HG00609.2	1	0	1	backbone,ipd_near
HG00609	full-ens	HLA-B	B	gene_exact	HG00597.2,HG00558.1~B_40-559	6.87	HG00609.1,HG00609.2	0	0	1	backbone,ipd_near
HG00609	full-ens	HLA-C	C	two_field	HG00597.2,HG02083.1	3.04	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-C	C	g_group	HG00597.2,HG02083.1	3.04	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-C	C	cds_exact	HG00597.2,HG02083.1	3.04	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-C	C	gene_exact	HG00597.2,HG02083.1	3.04	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DP	DPA1	two_field	NA18570.2,NA18945.2	4.28	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DP	DPA1	g_group	NA18570.2,NA18945.2	4.28	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DP	DPA1	cds_exact	NA18570.2,NA18945.2	4.28	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DP	DPA1	gene_exact	NA18570.2,NA18945.2	4.28	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DP	DPB1	two_field	NA18570.2,NA18945.2	4.28	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DP	DPB1	g_group	NA18570.2,NA18945.2	4.28	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DP	DPB1	cds_exact	NA18570.2,NA18945.2	4.28	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DP	DPB1	gene_exact	NA18570.2,NA18945.2	4.28	HG00609.1,HG00609.2	1	0	1	backbone,backbone
HG00609	full-ens	HLA-DQ	DQA1	two_field	HG00408.2,HG005.2	9.13	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DQ	DQA1	g_group	HG00408.2,HG005.2	9.13	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DQ	DQA1	cds_exact	HG00408.2,HG005.2	9.13	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DQ	DQA1	gene_exact	HG00408.2,HG005.2	9.13	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DQ	DQB1	two_field	HG00408.2,HG005.2	9.13	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DQ	DQB1	g_group	HG00408.2,HG005.2	9.13	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DQ	DQB1	cds_exact	HG00408.2,HG005.2	9.13	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DQ	DQB1	gene_exact	HG00408.2,HG005.2	9.13	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DRB1	DRB1	two_field	HIFI032607D.1,HG02145.1~DRB1_15-01-01-01	23.14	HG00609.1,HG00609.2	1	1	2	backbone,ipd_near
HG00609	full-ens	HLA-DRB1	DRB1	g_group	HIFI032607D.1,HG02145.1~DRB1_15-01-01-01	23.14	HG00609.1,HG00609.2	1	1	2	backbone,ipd_near
HG00609	full-ens	HLA-DRB1	DRB1	cds_exact	HIFI032607D.1,HG02145.1~DRB1_15-01-01-01	23.14	HG00609.1,HG00609.2	1	1	2	backbone,ipd_near
HG00609	full-ens	HLA-DRB1	DRB1	gene_exact	HIFI032607D.1,HG02145.1~DRB1_15-01-01-01	23.14	HG00609.1,HG00609.2	0	0	0	backbone,ipd_near
HG00609	full-ens	HLA-DRB345	DRB3	two_field	HG00558.1,KPanRef-075.1	6.65	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DRB345	DRB3	g_group	HG00558.1,KPanRef-075.1	6.65	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DRB345	DRB3	cds_exact	HG00558.1,KPanRef-075.1	6.65	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DRB345	DRB3	gene_exact	HG00558.1,KPanRef-075.1	6.65	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DRB345	DRB4	two_field	HG00558.1,KPanRef-075.1	6.65	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DRB345	DRB4	g_group	HG00558.1,KPanRef-075.1	6.65	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DRB345	DRB4	cds_exact	HG00558.1,KPanRef-075.1	6.65	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DRB345	DRB4	gene_exact	HG00558.1,KPanRef-075.1	6.65	HG00609.1,HG00609.2	1	0	1	backbone,backbone
HG00609	full-ens	HLA-DRB345	DRB5	two_field	HG00558.1,KPanRef-075.1	6.65	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DRB345	DRB5	g_group	HG00558.1,KPanRef-075.1	6.65	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DRB345	DRB5	cds_exact	HG00558.1,KPanRef-075.1	6.65	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00609	full-ens	HLA-DRB345	DRB5	gene_exact	HG00558.1,KPanRef-075.1	6.65	HG00609.1,HG00609.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-A	A	two_field	HG02083.1,HG02083.1	2.29	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-A	A	g_group	HG02083.1,HG02083.1	2.29	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-A	A	cds_exact	HG02083.1,HG02083.1	2.29	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-A	A	gene_exact	HG02083.1,HG02083.1	2.29	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-B	B	two_field	apr001.1,NA20752.1~B_51-01-02-01	2.69	HG00658.1,HG00658.2	1	1	2	backbone,ipd_near
HG00658	full-ens	HLA-B	B	g_group	apr001.1,NA20752.1~B_51-01-02-01	2.69	HG00658.1,HG00658.2	1	1	2	backbone,ipd_near
HG00658	full-ens	HLA-B	B	cds_exact	apr001.1,NA20752.1~B_51-01-02-01	2.69	HG00658.1,HG00658.2	1	1	2	backbone,ipd_near
HG00658	full-ens	HLA-B	B	gene_exact	apr001.1,NA20752.1~B_51-01-02-01	2.69	HG00658.1,HG00658.2	0	0	0	backbone,ipd_near
HG00658	full-ens	HLA-C	C	two_field	HG03669.2,HIFI032591D.1	3.35	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-C	C	g_group	HG03669.2,HIFI032591D.1	3.35	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-C	C	cds_exact	HG03669.2,HIFI032591D.1	3.35	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-C	C	gene_exact	HG03669.2,HIFI032591D.1	3.35	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DP	DPA1	two_field	HG02040.2,RY04.2	8.58	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DP	DPA1	g_group	HG02040.2,RY04.2	8.58	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DP	DPA1	cds_exact	HG02040.2,RY04.2	8.58	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DP	DPA1	gene_exact	HG02040.2,RY04.2	8.58	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DP	DPB1	two_field	HG02040.2,RY04.2	8.58	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DP	DPB1	g_group	HG02040.2,RY04.2	8.58	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DP	DPB1	cds_exact	HG02040.2,RY04.2	8.58	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DP	DPB1	gene_exact	HG02040.2,RY04.2	8.58	HG00658.1,HG00658.2	1	0	1	backbone,backbone
HG00658	full-ens	HLA-DQ	DQA1	two_field	HIFI032302D.1,NA18747.1	5.14	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DQ	DQA1	g_group	HIFI032302D.1,NA18747.1	5.14	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DQ	DQA1	cds_exact	HIFI032302D.1,NA18747.1	5.14	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DQ	DQA1	gene_exact	HIFI032302D.1,NA18747.1	5.14	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DQ	DQB1	two_field	HIFI032302D.1,NA18747.1	5.14	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DQ	DQB1	g_group	HIFI032302D.1,NA18747.1	5.14	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DQ	DQB1	cds_exact	HIFI032302D.1,NA18747.1	5.14	HG00658.1,HG00658.2	1	1	2	backbone,backbone
HG00658	full-ens	HLA-DQ	DQB1	gene_exact	HIFI032302D.1,NA18747.1	5.14	HG00658.1,HG00658.2	1	0	1	backbone,backbone
HG00658	full-ens	HLA-DRB1	DRB1	two_field	HIFI032302D.1,NA18952.1~DRB1_14-04-01-01	10.07	HG00658.1,HG00658.2	1	1	2	backbone,ipd_near
HG00658	full-ens	HLA-DRB1	DRB1	g_group	HIFI032302D.1,NA18952.1~DRB1_14-04-01-01	10.07	HG00658.1,HG00658.2	1	1	2	backbone,ipd_near
HG00658	full-ens	HLA-DRB1	DRB1	cds_exact	HIFI032302D.1,NA18952.1~DRB1_14-04-01-01	10.07	HG00658.1,HG00658.2	1	0	1	backbone,ipd_near
HG00658	full-ens	HLA-DRB1	DRB1	gene_exact	HIFI032302D.1,NA18952.1~DRB1_14-04-01-01	10.07	HG00658.1,HG00658.2	0	0	0	backbone,ipd_near
HG00658	full-ens	HLA-DRB345	DRB3	two_field	HIFI032711D.1~DRB3_02-242,HG02165.1~DRB3_02-24-01-01	1.29	HG00658.1,HG00658.2	1	0	0	ipd_near,ipd_near
HG00658	full-ens	HLA-DRB345	DRB3	g_group	HIFI032711D.1~DRB3_02-242,HG02165.1~DRB3_02-24-01-01	1.29	HG00658.1,HG00658.2	1	0	1	ipd_near,ipd_near
