hap_id	haplotype	donor_id	cohort
NA20905#1	NA20905.1	NA20905	HPRC-Rest
NA20905#2	NA20905.2	NA20905	HPRC-Rest
NA21093#1	NA21093.1	NA21093	HPRC-Rest
NA21093#2	NA21093.2	NA21093	HPRC-Rest
NA21102#1	NA21102.1	NA21102	HPRC-Rest
NA21102#2	NA21102.2	NA21102	HPRC-Rest
NA21106#1	NA21106.1	NA21106	HPRC-Rest
NA21106#2	NA21106.2	NA21106	HPRC-Rest
NA21110#1	NA21110.1	NA21110	HPRC-Rest
NA21110#2	NA21110.2	NA21110	HPRC-Rest
NA21144#1	NA21144.1	NA21144	HPRC-Rest
NA21144#2	NA21144.2	NA21144	HPRC-Rest
NA21309#1	NA21309.1	NA21309	HPRC-Rest
NA21309#2	NA21309.2	NA21309	HPRC-Rest
RY01#1	RY01.1	RY01	CPC-Chinese
RY01#2	RY01.2	RY01	CPC-Chinese
RY02#1	RY02.1	RY02	CPC-Chinese
RY02#2	RY02.2	RY02	CPC-Chinese
RY03#1	RY03.1	RY03	CPC-Chinese
RY03#2	RY03.2	RY03	CPC-Chinese
RY04#1	RY04.1	RY04	CPC-Chinese
RY04#2	RY04.2	RY04	CPC-Chinese
RY05#1	RY05.1	RY05	CPC-Chinese
RY05#2	RY05.2	RY05	CPC-Chinese
RY06#1	RY06.1	RY06	CPC-Chinese
RY06#2	RY06.2	RY06	CPC-Chinese
RY07#1	RY07.1	RY07	CPC-Chinese
RY07#2	RY07.2	RY07	CPC-Chinese
RY08#1	RY08.1	RY08	CPC-Chinese
RY08#2	RY08.2	RY08	CPC-Chinese
RY09#1	RY09.1	RY09	CPC-Chinese
RY09#2	RY09.2	RY09	CPC-Chinese
RY10#1	RY10.1	RY10	CPC-Chinese
RY10#2	RY10.2	RY10	CPC-Chinese
RY11#1	RY11.1	RY11	CPC-Chinese
RY11#2	RY11.2	RY11	CPC-Chinese
apr-f#1	apr-f.1	apr-f	APR
apr-f#2	apr-f.2	apr-f	APR
apr-m#1	apr-m.1	apr-m	APR
apr-m#2	apr-m.2	apr-m	APR
apr-s#1	apr-s.1	apr-s	APR
apr-s#2	apr-s.2	apr-s	APR
apr001#1	apr001.1	apr001	APR
apr001#2	apr001.2	apr001	APR
apr002#1	apr002.1	apr002	APR
apr002#2	apr002.2	apr002	APR
apr003#1	apr003.1	apr003	APR
apr003#2	apr003.2	apr003	APR
apr004#1	apr004.1	apr004	APR
apr004#2	apr004.2	apr004	APR
apr005#1	apr005.1	apr005	APR
apr005#2	apr005.2	apr005	APR
apr006#1	apr006.1	apr006	APR
apr006#2	apr006.2	apr006	APR
apr007#1	apr007.1	apr007	APR
apr007#2	apr007.2	apr007	APR
apr008#1	apr008.1	apr008	APR
apr008#2	apr008.2	apr008	APR
apr009#1	apr009.1	apr009	APR
apr009#2	apr009.2	apr009	APR
apr010#1	apr010.1	apr010	APR
apr010#2	apr010.2	apr010	APR
apr011#1	apr011.1	apr011	APR
apr011#2	apr011.2	apr011	APR
apr012#1	apr012.1	apr012	APR
apr012#2	apr012.2	apr012	APR
apr013#1	apr013.1	apr013	APR
apr013#2	apr013.2	apr013	APR
apr014#1	apr014.1	apr014	APR
apr014#2	apr014.2	apr014	APR
apr015#1	apr015.1	apr015	APR
apr015#2	apr015.2	apr015	APR
apr016#1	apr016.1	apr016	APR
apr016#2	apr016.2	apr016	APR
apr018#1	apr018.1	apr018	APR
apr018#2	apr018.2	apr018	APR
apr019#1	apr019.1	apr019	APR
apr019#2	apr019.2	apr019	APR
apr020#1	apr020.1	apr020	APR
apr020#2	apr020.2	apr020	APR
apr021#1	apr021.1	apr021	APR
apr021#2	apr021.2	apr021	APR
apr022#1	apr022.1	apr022	APR
apr022#2	apr022.2	apr022	APR
apr023#1	apr023.1	apr023	APR
apr023#2	apr023.2	apr023	APR
apr024#1	apr024.1	apr024	APR
apr024#2	apr024.2	apr024	APR
apr025#1	apr025.1	apr025	APR
apr025#2	apr025.2	apr025	APR
apr026#1	apr026.1	apr026	APR
apr026#2	apr026.2	apr026	APR
apr027#1	apr027.1	apr027	APR
apr027#2	apr027.2	apr027	APR
apr029#1	apr029.1	apr029	APR
apr029#2	apr029.2	apr029	APR
apr030#1	apr030.1	apr030	APR
apr030#2	apr030.2	apr030	APR
apr031#1	apr031.1	apr031	APR
apr031#2	apr031.2	apr031	APR
apr032#1	apr032.1	apr032	APR
apr032#2	apr032.2	apr032	APR
apr033#1	apr033.1	apr033	APR
apr033#2	apr033.2	apr033	APR
apr034#1	apr034.1	apr034	APR
apr034#2	apr034.2	apr034	APR
apr035#1	apr035.1	apr035	APR
apr035#2	apr035.2	apr035	APR
apr036#1	apr036.1	apr036	APR
apr036#2	apr036.2	apr036	APR
apr037#1	apr037.1	apr037	APR
apr037#2	apr037.2	apr037	APR
apr038#1	apr038.1	apr038	APR
apr038#2	apr038.2	apr038	APR
apr039#1	apr039.1	apr039	APR
apr039#2	apr039.2	apr039	APR
apr040#1	apr040.1	apr040	APR
apr040#2	apr040.2	apr040	APR
apr041#1	apr041.1	apr041	APR
apr041#2	apr041.2	apr041	APR
apr042#1	apr042.1	apr042	APR
apr042#2	apr042.2	apr042	APR
apr043#1	apr043.1	apr043	APR
apr043#2	apr043.2	apr043	APR
apr044#1	apr044.1	apr044	APR
apr044#2	apr044.2	apr044	APR
apr045#1	apr045.1	apr045	APR
apr045#2	apr045.2	apr045	APR
apr046#1	apr046.1	apr046	APR
apr046#2	apr046.2	apr046	APR
apr047#1	apr047.1	apr047	APR
apr047#2	apr047.2	apr047	APR
apr048#1	apr048.1	apr048	APR
apr048#2	apr048.2	apr048	APR
apr049#1	apr049.1	apr049	APR
apr049#2	apr049.2	apr049	APR
apr050#1	apr050.1	apr050	APR
apr050#2	apr050.2	apr050	APR
apr051#1	apr051.1	apr051	APR
apr051#2	apr051.2	apr051	APR
apr52#1	apr52.1	apr52	APR
apr52#2	apr52.2	apr52	APR
chm13#0	chm13.0	chm13	REF
hg002#1	hg002.1	hg002	HPRC-Jewish
hg002#2	hg002.2	hg002	HPRC-Jewish
ksa001#1	ksa001.1	ksa001	JaSaPaGe-Saudi
ksa001#2	ksa001.2	ksa001	JaSaPaGe-Saudi
ksa002#1	ksa002.1	ksa002	JaSaPaGe-Saudi
ksa002#2	ksa002.2	ksa002	JaSaPaGe-Saudi
ksa003#1	ksa003.1	ksa003	JaSaPaGe-Saudi
ksa003#2	ksa003.2	ksa003	JaSaPaGe-Saudi
ksa004#1	ksa004.1	ksa004	JaSaPaGe-Saudi
ksa004#2	ksa004.2	ksa004	JaSaPaGe-Saudi
ksa005#1	ksa005.1	ksa005	JaSaPaGe-Saudi
ksa005#2	ksa005.2	ksa005	JaSaPaGe-Saudi
ksa006#1	ksa006.1	ksa006	JaSaPaGe-Saudi
ksa006#2	ksa006.2	ksa006	JaSaPaGe-Saudi
ksa007#1	ksa007.1	ksa007	JaSaPaGe-Saudi
ksa007#2	ksa007.2	ksa007	JaSaPaGe-Saudi
ksa008#1	ksa008.1	ksa008	JaSaPaGe-Saudi
ksa008#2	ksa008.2	ksa008	JaSaPaGe-Saudi
ksa009#1	ksa009.1	ksa009	JaSaPaGe-Saudi
ksa009#2	ksa009.2	ksa009	JaSaPaGe-Saudi
