donor	arm	gene	global_edits	exact_genes	truth_bases	reconstructed_bases	masked_bases	legacy_infix_edits	two_field_eligible	two_field_correct	g_group_eligible	g_group_correct	three_field_eligible	three_field_correct
HG03239	AE-ipd365	DPB1	64	0	22978	22978	54	64	1	1	1	1	1	1
HG03239	AE-ipd365	DQA1	609	0	12840	12938	566	609	1	1	1	1	1	1
HG03239	AE-ipd365	DQB1	756	0	14603	14981	732	756	1	1	1	1	1	1
HG03239	AE-ipd365	DRB1	13007	0	29902	21444	1704	11993	1	1	1	1	1	1
HG03239	AE-panel	A	0	2	7019	7019	0	0	1	1	1	1	1	1
HG03239	AE-panel	B	543	0	7706	8175	0	83	1	1	1	1	1	0
HG03239	AE-panel	C	43	0	8581	8621	0	3	1	1	1	1	1	1
HG03239	AE-panel	DPA1	291	0	19310	19537	0	64	1	1	1	1	1	0
HG03239	AE-panel	DPB1	64	0	22978	22978	54	64	1	1	1	1	1	1
HG03239	AE-panel	DQA1	609	0	12840	12938	566	609	1	1	1	1	1	1
HG03239	AE-panel	DQB1	756	0	14603	14981	732	756	1	1	1	1	1	1
HG03239	AE-panel	DRB1	13007	0	29902	21444	1704	11993	1	1	1	1	1	1
HG03742	A-replay	A	0	2	7020	7020	0	0	1	1	1	1	1	1
HG03742	A-replay	B	270	0	7937	8167	0	41	1	1	1	1	1	1
HG03742	A-replay	C	8	0	8606	8606	0	8	1	1	1	1	1	1
HG03742	A-replay	DPA1	4141	0	15416	19551	0	6	1	0	1	1	1	0
HG03742	A-replay	DPB1	34	0	23006	23006	0	34	1	1	1	1	1	1
HG03742	A-replay	DQA1	5	1	12922	12920	0	5	1	1	1	1	1	1
HG03742	A-replay	DQB1	760	0	14216	14966	754	760	1	1	1	1	1	1
HG03742	A-replay	DRB1	10173	0	28322	21433	1176	9364	1	1	1	1	1	1
HG03742	A-fixed	A	0	2	7020	7020	0	0	1	1	1	1	1	1
HG03742	A-fixed	B	270	0	7937	8167	0	41	1	1	1	1	1	1
HG03742	A-fixed	C	0	2	8606	8606	0	0	1	1	1	1	1	1
HG03742	A-fixed	DPA1	4135	1	15416	19551	0	0	1	0	1	1	1	0
HG03742	A-fixed	DPB1	32	0	23006	23006	0	32	1	1	1	1	1	1
HG03742	A-fixed	DQA1	5	1	12922	12920	0	5	1	1	1	1	1	1
HG03742	A-fixed	DQB1	760	0	14216	14966	754	760	1	1	1	1	1	1
HG03742	A-fixed	DRB1	9980	0	28322	21433	1176	9158	1	1	1	1	1	1
HG03742	AE-ipd365	A	0	2	7020	7020	0	0	1	1	1	1	1	1
HG03742	AE-ipd365	B	270	0	7937	8167	0	41	1	1	1	1	1	1
HG03742	AE-ipd365	C	0	2	8606	8606	0	0	1	1	1	1	1	1
HG03742	AE-ipd365	DPA1	4137	0	15416	19551	0	3	1	0	1	1	1	0
HG03742	AE-ipd365	DPB1	2	0	23006	23006	0	2	1	1	1	1	1	1
HG03742	AE-ipd365	DQA1	5	1	12922	12920	0	5	1	1	1	1	1	1
HG03742	AE-ipd365	DQB1	760	0	14216	14966	754	760	1	1	1	1	1	1
HG03742	AE-ipd365	DRB1	9980	0	28322	21433	1176	9158	1	1	1	1	1	1
HG03742	AE-panel	A	0	2	7020	7020	0	0	1	1	1	1	1	1
HG03742	AE-panel	B	270	0	7937	8167	0	41	1	1	1	1	1	1
HG03742	AE-panel	C	0	2	8606	8606	0	0	1	1	1	1	1	1
HG03742	AE-panel	DPA1	4137	0	15416	19551	0	3	1	0	1	1	1	0
HG03742	AE-panel	DPB1	2	0	23006	23006	0	2	1	1	1	1	1	1
HG03742	AE-panel	DQA1	5	1	12922	12920	0	5	1	1	1	1	1	1
