0	0
165	0
4096	0
1539778	0
8635851	0
8947848	0
12582711	0
134742617	0
671174640	0
695919290	0
2147491856	0
3221031355	0
3387616954	0
11134184359	0
34494480985	0
43100839938	0
72784974638	0
147152579105	0
150290486253	0
172403359752	0
270461625360	0
400170625342	0
484459563037	0
586401461434	0
618081243102	0
804017636286	0
890127781503	0
1047165666207	0
1088750079478	0
1100586419201	0
1122933353632	0
2454508801024	0
2880554379078	0
2911611054547	0
3934173278267	0
8804850993083	0
8968093958921	0
12117344822727	0
15248208694309	0
17898204775307	0
18414522809084	0
35285282980029	0
36299110562732	0
38482820730847	0
48941321034909	0
52174049831219	0
52746166126567	0
66652102964398	0
82046305937220	0
91176418165536	0
131804561442944	0
139628381290404	0
140737737067649	0
150920029203045	0
157596549763074	0
158948160434172	0
220452428974080	0
225346179825707	0
229028058178707	0
229595275120848	0
246392610190165	0
256508042039013	0
266470834477713	0
266608411857593	0
274877906453643	0
276952704369146	0
282578800148498	0
287042328087266	0
405900325529771	0
409854985390099	0
422511288111571	0
432156742778444	0
507836143033650	0
510243172810752	0
563310666850291	0
563536359622659	0
566835886565703	0
586041434284718	0
595973042409422	0
633370460345300	0
774415085468480	0
844430290536816	0
844709543807049	0
845578322509875	0
860790822220451	0
865029943938370	0
918105278511024	0
919178736092336	0
1017271894494498	0
1037943895079593	0
1048831883802423	0
1065886055815781	0
1126194743934991	0
1127139550200001	0
1130384004017838	0
1161019824931008	0
1165559645590991	0
1171934687163431	0
1333158556632786	0
1354612067201009	0
1372177815008739	0
1393957464296760	0
1399635012580445	0
1425098217332237	0
1429018150904722	0
1436325683851239	0
1439668170891255	0
1478431090966544	0
1639420042223694	0
1653324041385227	0
2024261623562240	0
2050901703414864	0
2145692998931183	0
2184531159236576	0
2252777164973992	0
2259563921507383	0
2291382770221303	0
2296330571612192	0
2317006980579120	0
2318868507278057	0
2415709808968540	0
2460740386685815	0
2478316317012525	0
2776025000644723	0
2884297922839740	0
2964875695694986	0
3096774500372018	0
3131958909512418	0
3177592977781282	0
3283179138408384	0
3360434218677125	0
3373163699040456	0
3378527588106551	0
3383371190224416	0
3414253411954234	0
3414253816704698	0
3448084726736059	0
3448084733291438	0
3448133512313323	0
3448328822254502	0
3457434449472501	0
3461584780181330	0
3487955960266763	0
3501488337646226	0
3510397286467563	0
3510513798773054	0
3552173810290270	0
3602579942729920	0
3676714944369347	0
3691052079243410	0
3696573696372808	0
3861129422393505	0
3905606481810548	0
3921923895227339	0
4068551241839752	0
4073865319574721	0
4149814585069424	0
4167973586403124	0
4230105676908668	0
4263544021924247	0
4263544223263127	0
4263808296626583	0
4265732442143639	0
4265734589489047	0
4294752249861134	0
4362853281635837	0
4368645448971375	0
4373997527618883	0
4382791580945054	0
4428953971342394	0
4486227893728207	0
4503875579019275	0
4504220518682559	0
4504699408485644	0
4520908027108895	0
4560499559708839	0
4567969613116492	0
4578370713026634	0
4595566291940638	0
4663034227870743	0
4691661261627514	0
4733471688377367	0
4736759838569152	0
4741025965031165	0
4785367287584705	0
4820593555251716	0
4822082631283859	0
5000790427849598	0
5062283291851657	0
5067100351167998	0
5088558352369996	0
5123720998300192	0
5136901160871179	0
5277638649226507	0
5365699204400964	0
5422551572590840	0
5628538082291715	0
5645523311156499	0
5711327232250618	0
6192205898202224	0
7012069640487940	0
7428655042213220	0
7674640489649063	0
7884851607983087	0
7895365403234141	0
8105956620699443	0
8112434323780593	0
8203606813659456	0
8448632525884714	0
8449613589077936	0
8514036692916111	0
8884205872509832	0
