donor	method	state
HG00118	asian_matched:DogoHLA	complete
HG00118	asian_matched:DogoHLA-no-graph	complete
HG00119	SpecHLA-IPD365-noFreq	complete
HG00119	T1K-four-field	complete
HG00119	full:DogoHLA	complete
HG00119	full:DogoHLA-no-graph	complete
HG00119	hprc:DogoHLA	complete
HG00119	hprc:DogoHLA-no-graph	complete
HG00119	asian_matched:DogoHLA	complete
HG00119	asian_matched:DogoHLA-no-graph	complete
HG00120	SpecHLA-IPD365-noFreq	complete
HG00120	T1K-four-field	complete
HG00120	full:DogoHLA	complete
HG00120	full:DogoHLA-no-graph	complete
HG00120	hprc:DogoHLA	complete
HG00120	hprc:DogoHLA-no-graph	complete
HG00120	asian_matched:DogoHLA	complete
HG00120	asian_matched:DogoHLA-no-graph	complete
HG00121	SpecHLA-IPD365-noFreq	complete
HG00121	T1K-four-field	complete
HG00121	full:DogoHLA	complete
HG00121	full:DogoHLA-no-graph	complete
HG00121	hprc:DogoHLA	complete
HG00121	hprc:DogoHLA-no-graph	complete
HG00121	asian_matched:DogoHLA	complete
HG00121	asian_matched:DogoHLA-no-graph	complete
HG00122	SpecHLA-IPD365-noFreq	complete
HG00122	T1K-four-field	complete
HG00122	full:DogoHLA	complete
HG00122	full:DogoHLA-no-graph	complete
HG00122	hprc:DogoHLA	complete
HG00122	hprc:DogoHLA-no-graph	complete
HG00122	asian_matched:DogoHLA	complete
HG00122	asian_matched:DogoHLA-no-graph	complete
HG00123	SpecHLA-IPD365-noFreq	complete
HG00123	T1K-four-field	complete
HG00123	full:DogoHLA	complete
HG00123	full:DogoHLA-no-graph	complete
HG00123	hprc:DogoHLA	complete
HG00123	hprc:DogoHLA-no-graph	complete
HG00123	asian_matched:DogoHLA	complete
HG00123	asian_matched:DogoHLA-no-graph	complete
HG00125	SpecHLA-IPD365-noFreq	complete
HG00125	T1K-four-field	complete
HG00125	full:DogoHLA	complete
HG00125	full:DogoHLA-no-graph	complete
HG00125	hprc:DogoHLA	complete
HG00125	hprc:DogoHLA-no-graph	complete
HG00125	asian_matched:DogoHLA	complete
HG00125	asian_matched:DogoHLA-no-graph	complete
HG00127	SpecHLA-IPD365-noFreq	complete
HG00127	T1K-four-field	complete
HG00127	full:DogoHLA	complete
HG00127	full:DogoHLA-no-graph	complete
HG00127	hprc:DogoHLA	complete
HG00127	hprc:DogoHLA-no-graph	complete
HG00127	asian_matched:DogoHLA	complete
HG00127	asian_matched:DogoHLA-no-graph	complete
HG00129	SpecHLA-IPD365-noFreq	complete
HG00129	T1K-four-field	complete
HG00129	full:DogoHLA	complete
HG00129	full:DogoHLA-no-graph	complete
HG00129	hprc:DogoHLA	complete
HG00129	hprc:DogoHLA-no-graph	complete
HG00129	asian_matched:DogoHLA	complete
HG00129	asian_matched:DogoHLA-no-graph	complete
HG00130	SpecHLA-IPD365-noFreq	complete
HG00130	T1K-four-field	complete
HG00130	full:DogoHLA	complete
HG00130	full:DogoHLA-no-graph	complete
HG00130	hprc:DogoHLA	complete
HG00130	hprc:DogoHLA-no-graph	complete
HG00130	asian_matched:DogoHLA	complete
HG00130	asian_matched:DogoHLA-no-graph	complete
HG00131	SpecHLA-IPD365-noFreq	complete
HG00131	T1K-four-field	complete
HG00131	full:DogoHLA	complete
HG00131	full:DogoHLA-no-graph	complete
HG00131	hprc:DogoHLA	complete
HG00131	hprc:DogoHLA-no-graph	complete
HG00131	asian_matched:DogoHLA	complete
HG00131	asian_matched:DogoHLA-no-graph	complete
HG00132	SpecHLA-IPD365-noFreq	complete
HG00132	T1K-four-field	complete
HG00132	full:DogoHLA	complete
HG00132	full:DogoHLA-no-graph	complete
HG00132	hprc:DogoHLA	complete
HG00132	hprc:DogoHLA-no-graph	complete
HG00132	asian_matched:DogoHLA	complete
HG00132	asian_matched:DogoHLA-no-graph	complete
HG00136	SpecHLA-IPD365-noFreq	complete
HG00136	T1K-four-field	complete
HG00136	full:DogoHLA	complete
HG00136	full:DogoHLA-no-graph	complete
HG00136	hprc:DogoHLA	complete
HG00136	hprc:DogoHLA-no-graph	complete
HG00136	asian_matched:DogoHLA	complete
HG00136	asian_matched:DogoHLA-no-graph	complete
HG00137	SpecHLA-IPD365-noFreq	complete
HG00137	T1K-four-field	complete
HG00137	full:DogoHLA	complete
HG00137	full:DogoHLA-no-graph	complete
HG00137	hprc:DogoHLA	complete
HG00137	hprc:DogoHLA-no-graph	complete
HG00137	asian_matched:DogoHLA	complete
HG00137	asian_matched:DogoHLA-no-graph	complete
HG00138	SpecHLA-IPD365-noFreq	complete
HG00138	T1K-four-field	complete
HG00138	full:DogoHLA	complete
HG00138	full:DogoHLA-no-graph	complete
HG00138	hprc:DogoHLA	complete
HG00138	hprc:DogoHLA-no-graph	complete
HG00138	asian_matched:DogoHLA	complete
HG00138	asian_matched:DogoHLA-no-graph	complete
HG00139	SpecHLA-IPD365-noFreq	complete
HG00139	T1K-four-field	complete
HG00139	full:DogoHLA	complete
HG00139	full:DogoHLA-no-graph	complete
HG00139	hprc:DogoHLA	complete
HG00139	hprc:DogoHLA-no-graph	complete
HG00139	asian_matched:DogoHLA	complete
HG00139	asian_matched:DogoHLA-no-graph	complete
HG00141	SpecHLA-IPD365-noFreq	complete
HG00141	T1K-four-field	complete
HG00141	full:DogoHLA	complete
HG00141	full:DogoHLA-no-graph	complete
HG00141	hprc:DogoHLA	complete
HG00141	hprc:DogoHLA-no-graph	complete
HG00141	asian_matched:DogoHLA	complete
HG00141	asian_matched:DogoHLA-no-graph	complete
HG00142	SpecHLA-IPD365-noFreq	complete
HG00142	T1K-four-field	complete
HG00142	full:DogoHLA	complete
HG00142	full:DogoHLA-no-graph	complete
HG00142	hprc:DogoHLA	complete
HG00142	hprc:DogoHLA-no-graph	complete
HG00142	asian_matched:DogoHLA	complete
HG00142	asian_matched:DogoHLA-no-graph	complete
HG00143	SpecHLA-IPD365-noFreq	complete
HG00143	T1K-four-field	complete
HG00143	full:DogoHLA	complete
HG00143	full:DogoHLA-no-graph	complete
HG00143	hprc:DogoHLA	complete
HG00143	hprc:DogoHLA-no-graph	complete
HG00143	asian_matched:DogoHLA	complete
HG00143	asian_matched:DogoHLA-no-graph	complete
HG00145	SpecHLA-IPD365-noFreq	complete
HG00145	T1K-four-field	complete
HG00145	full:DogoHLA	complete
HG00145	full:DogoHLA-no-graph	complete
HG00145	hprc:DogoHLA	complete
HG00145	hprc:DogoHLA-no-graph	complete
HG00145	asian_matched:DogoHLA	complete
HG00145	asian_matched:DogoHLA-no-graph	complete
HG00148	SpecHLA-IPD365-noFreq	complete
HG00148	T1K-four-field	complete
HG00148	full:DogoHLA	complete
HG00148	full:DogoHLA-no-graph	complete
HG00148	hprc:DogoHLA	complete
HG00148	hprc:DogoHLA-no-graph	complete
HG00148	asian_matched:DogoHLA	complete
HG00148	asian_matched:DogoHLA-no-graph	complete
HG00149	SpecHLA-IPD365-noFreq	complete
HG00149	T1K-four-field	complete
HG00149	full:DogoHLA	complete
HG00149	full:DogoHLA-no-graph	complete
HG00149	hprc:DogoHLA	complete
HG00149	hprc:DogoHLA-no-graph	complete
HG00149	asian_matched:DogoHLA	complete
HG00149	asian_matched:DogoHLA-no-graph	complete
HG00150	SpecHLA-IPD365-noFreq	complete
HG00150	T1K-four-field	complete
HG00150	full:DogoHLA	complete
HG00150	full:DogoHLA-no-graph	complete
HG00150	hprc:DogoHLA	complete
HG00150	hprc:DogoHLA-no-graph	complete
HG00150	asian_matched:DogoHLA	complete
HG00150	asian_matched:DogoHLA-no-graph	complete
HG00151	SpecHLA-IPD365-noFreq	complete
HG00151	T1K-four-field	complete
HG00151	full:DogoHLA	complete
HG00151	full:DogoHLA-no-graph	complete
HG00151	hprc:DogoHLA	complete
HG00151	hprc:DogoHLA-no-graph	complete
HG00151	asian_matched:DogoHLA	complete
HG00151	asian_matched:DogoHLA-no-graph	complete
HG00154	SpecHLA-IPD365-noFreq	complete
HG00154	T1K-four-field	complete
HG00154	full:DogoHLA	complete
HG00154	full:DogoHLA-no-graph	complete
HG00154	hprc:DogoHLA	complete
HG00154	hprc:DogoHLA-no-graph	complete
HG00154	asian_matched:DogoHLA	complete
HG00154	asian_matched:DogoHLA-no-graph	complete
HG00155	SpecHLA-IPD365-noFreq	complete
HG00155	T1K-four-field	complete
HG00155	full:DogoHLA	complete
HG00155	full:DogoHLA-no-graph	complete
HG00155	hprc:DogoHLA	complete
HG00155	hprc:DogoHLA-no-graph	complete
HG00155	asian_matched:DogoHLA	complete
HG00155	asian_matched:DogoHLA-no-graph	complete
HG00157	SpecHLA-IPD365-noFreq	complete
HG00157	T1K-four-field	complete
HG00157	full:DogoHLA	complete
HG00157	full:DogoHLA-no-graph	complete
HG00157	hprc:DogoHLA	complete
HG00157	hprc:DogoHLA-no-graph	complete
HG00157	asian_matched:DogoHLA	complete
HG00157	asian_matched:DogoHLA-no-graph	complete
HG00158	SpecHLA-IPD365-noFreq	complete
HG00158	T1K-four-field	complete
HG00158	full:DogoHLA	complete
HG00158	full:DogoHLA-no-graph	complete
HG00158	hprc:DogoHLA	complete
HG00158	hprc:DogoHLA-no-graph	complete
HG00158	asian_matched:DogoHLA	complete
HG00158	asian_matched:DogoHLA-no-graph	complete
HG00159	SpecHLA-IPD365-noFreq	complete
HG00159	T1K-four-field	complete
HG00159	full:DogoHLA	complete
HG00159	full:DogoHLA-no-graph	complete
HG00159	hprc:DogoHLA	complete
HG00159	hprc:DogoHLA-no-graph	complete
HG00159	asian_matched:DogoHLA	complete
HG00159	asian_matched:DogoHLA-no-graph	complete
HG00160	SpecHLA-IPD365-noFreq	complete
HG00160	T1K-four-field	complete
HG00160	full:DogoHLA	complete
HG00160	full:DogoHLA-no-graph	complete
HG00160	hprc:DogoHLA	complete
HG00160	hprc:DogoHLA-no-graph	complete
HG00160	asian_matched:DogoHLA	complete
HG00160	asian_matched:DogoHLA-no-graph	complete
HG00171	SpecHLA-IPD365-noFreq	complete
HG00171	T1K-four-field	complete
HG00171	full:DogoHLA	complete
HG00171	full:DogoHLA-no-graph	complete
HG00171	hprc:DogoHLA	complete
HG00171	hprc:DogoHLA-no-graph	complete
HG00171	asian_matched:DogoHLA	complete
HG00171	asian_matched:DogoHLA-no-graph	complete
HG00173	SpecHLA-IPD365-noFreq	complete
HG00173	T1K-four-field	complete
HG00173	full:DogoHLA	complete
HG00173	full:DogoHLA-no-graph	complete
HG00173	hprc:DogoHLA	complete
HG00173	hprc:DogoHLA-no-graph	complete
HG00173	asian_matched:DogoHLA	complete
HG00173	asian_matched:DogoHLA-no-graph	complete
HG00174	SpecHLA-IPD365-noFreq	complete
HG00174	T1K-four-field	complete
HG00174	full:DogoHLA	complete
HG00174	full:DogoHLA-no-graph	complete
HG00174	hprc:DogoHLA	complete
HG00174	hprc:DogoHLA-no-graph	complete
HG00174	asian_matched:DogoHLA	complete
HG00174	asian_matched:DogoHLA-no-graph	complete
HG00176	SpecHLA-IPD365-noFreq	complete
HG00176	T1K-four-field	complete
HG00176	full:DogoHLA	complete
HG00176	full:DogoHLA-no-graph	complete
HG00176	hprc:DogoHLA	complete
HG00176	hprc:DogoHLA-no-graph	complete
HG00176	asian_matched:DogoHLA	complete
HG00176	asian_matched:DogoHLA-no-graph	complete
HG00177	SpecHLA-IPD365-noFreq	complete
HG00177	T1K-four-field	complete
HG00177	full:DogoHLA	complete
HG00177	full:DogoHLA-no-graph	complete
HG00177	hprc:DogoHLA	complete
HG00177	hprc:DogoHLA-no-graph	complete
HG00177	asian_matched:DogoHLA	complete
HG00177	asian_matched:DogoHLA-no-graph	complete
HG00178	SpecHLA-IPD365-noFreq	complete
HG00178	T1K-four-field	complete
HG00178	full:DogoHLA	complete
HG00178	full:DogoHLA-no-graph	complete
HG00178	hprc:DogoHLA	complete
HG00178	hprc:DogoHLA-no-graph	complete
HG00178	asian_matched:DogoHLA	complete
HG00178	asian_matched:DogoHLA-no-graph	complete
HG00179	SpecHLA-IPD365-noFreq	complete
HG00179	T1K-four-field	complete
HG00179	full:DogoHLA	complete
HG00179	full:DogoHLA-no-graph	complete
HG00179	hprc:DogoHLA	complete
HG00179	hprc:DogoHLA-no-graph	complete
HG00179	asian_matched:DogoHLA	complete
HG00179	asian_matched:DogoHLA-no-graph	complete
HG00180	SpecHLA-IPD365-noFreq	complete
HG00180	T1K-four-field	complete
HG00180	full:DogoHLA	complete
HG00180	full:DogoHLA-no-graph	complete
HG00180	hprc:DogoHLA	complete
HG00180	hprc:DogoHLA-no-graph	complete
HG00180	asian_matched:DogoHLA	complete
HG00180	asian_matched:DogoHLA-no-graph	complete
HG00181	SpecHLA-IPD365-noFreq	complete
HG00181	T1K-four-field	complete
HG00181	full:DogoHLA	complete
