donor	method	state	fields	eligible	called	correct	allele_matches
HG03831	T1K	complete	2	8	8	8	16
HG03831	T1K	complete	4	6	6	2	8
HG03831	ipd_genome	complete	2	8	8	7	15
HG03831	ipd_genome	complete	4	6	6	6	12
HG03831	all	complete	2	8	8	7	15
HG03831	all	complete	4	6	6	6	12
HG03831	hprc/sampled	complete	2	8	8	7	15
HG03831	hprc/sampled	complete	4	6	6	6	12
HG03831	hprc/unsampled	complete	2	8	8	7	15
HG03831	hprc/unsampled	complete	4	6	6	6	12
HG03831	hprc_asian/sampled	complete	2	8	8	7	15
HG03831	hprc_asian/sampled	complete	4	6	6	6	12
HG03831	hprc_asian/unsampled	complete	2	8	8	7	15
HG03831	hprc_asian/unsampled	complete	4	6	6	6	12
