stratum	universe	variant_class	baseline	endpoint	donors	full_minus_baseline_pp	ci95_low_pp	ci95_high_pp	donors_better	donors_tied	donors_worse
EAS	all_truth	ALL	hprc	all	20	-5.11076079365732	-5.215205603253503	-5.0009204391406135	0	0	20
EAS	all_truth	ALL	hprc	nonref	20	-13.541702138009871	-14.395654776919578	-12.666233039532427	0	0	20
EAS	all_truth	SNV	hprc	all	20	-5.760357697510143	-5.857423538399871	-5.65972396172536	0	0	20
EAS	all_truth	SNV	hprc	nonref	20	-13.967799902223742	-14.820319886096	-13.096197275755118	0	0	20
EAS	all_truth	SV_length_site	hprc	all	20	-8.489932885906038	-9.010067114093967	-7.936241610738248	0	0	20
EAS	all_truth	SV_length_site	hprc	nonref	20	-9.110970996216905	-9.999999999999998	-8.216236545792619	0	0	20
EAS	all_truth	small_complex	hprc	all	20	-2.042077771329076	-2.210105919907147	-1.866504643064425	0	0	20
EAS	all_truth	small_complex	hprc	nonref	20	-12.44939463630661	-13.441916819875992	-11.535137752728515	0	0	20
EAS	all_truth	truth_SV_length	hprc	all	20	-4.436860068259385	-6.507592190889366	-2.5272622678503303	4	1	15
EAS	all_truth	truth_SV_length	hprc	nonref	20	-4.436860068259385	-6.438402214272559	-2.511880515953835	4	1	15
EAS	graph_shared_SNV	SNV	hprc	all	20	0.11650751191927267	0.05608766399273185	0.1862436727457259	15	0	5
EAS	graph_shared_SNV	SNV	hprc	nonref	20	0.41960389392412534	0.17241651882114462	0.6787207955407292	14	0	6
EAS	graph_shared_SNV	SNV	linear	all	20	12.586622685441839	12.474616144684225	12.689949034320641	20	0	0
EAS	graph_shared_SNV	SNV	linear	nonref	20	15.053436067979732	13.536142142415022	16.35483143319729	20	0	0
EAS	shared_sites	ALL	hprc	all	20	0.16389467377969646	0.07617485701417265	0.2609148204128328	15	0	5
EAS	shared_sites	ALL	hprc	nonref	20	0.56576314875465	0.25166305226671265	0.89758374469488	15	0	5
EAS	shared_sites	SNV	hprc	all	20	0.11650751191927267	0.05519751752376956	0.18377058109633135	15	0	5
EAS	shared_sites	SNV	hprc	nonref	20	0.41960389392412534	0.17596160895919116	0.6803653378638657	14	0	6
EAS	shared_sites	SV_length_site	hprc	all	20	1.5358361774744034	1.0232305317741175	2.0899978673491137	18	1	1
EAS	shared_sites	SV_length_site	hprc	nonref	20	2.9295328582739533	2.0078508434708913	3.8862179487179516	19	0	1
EAS	shared_sites	small_complex	hprc	all	20	0.3625514403292174	0.14637409933451004	0.5981429601256374	16	0	4
EAS	shared_sites	small_complex	hprc	nonref	20	0.9168070132390516	0.34774411712904024	1.473716353834796	15	0	5
EAS	shared_sites	truth_SV_length	hprc	all	20	3.703703703703698	1.6977568685729802	5.6540924907963115	15	2	3
EAS	shared_sites	truth_SV_length	hprc	nonref	20	3.703703703703698	1.729788523121911	5.618000402591226	15	2	3
EAS	three_way_shared_PASS_SNV	SNV	hprc	all	20	0.050415030824624285	0.02081721180605595	0.08424796707901527	14	0	6
EAS	three_way_shared_PASS_SNV	SNV	hprc	nonref	20	0.172456042203184	0.05986527662577873	0.2915190632702411	14	1	5
EAS	three_way_shared_PASS_SNV	SNV	linear	all	20	0.1360610379144922	0.0762689640386946	0.19496399008900267	16	0	4
EAS	three_way_shared_PASS_SNV	SNV	linear	nonref	20	0.5441843476491903	0.31137314387923637	0.7646449171017913	16	0	4
SAS	all_truth	ALL	hprc	all	20	-5.146962165714997	-5.267173828205236	-5.014371431212258	0	0	20
