donor	stratum	population	fold	universe	variant_class	arm	n	site_present	represented	called	correct	nonref_n	nonref_correct
HG03874	SAS	ITU	1	shared_sites	SNV	full	57756	57756	57755	57756	57526	14310	14114
HG03874	SAS	ITU	1	shared_sites	SNV	hprc	57756	57756	57755	57756	57569	14310	14148
HG03874	SAS	ITU	1	shared_sites	SV_length_site	full	235	235	233	235	213	122	100
HG03874	SAS	ITU	1	shared_sites	SV_length_site	hprc	235	235	231	235	211	122	99
HG03874	SAS	ITU	1	shared_sites	small_complex	full	12157	12157	12146	12157	11940	5062	4874
HG03874	SAS	ITU	1	shared_sites	small_complex	hprc	12157	12157	12137	12155	11932	5062	4860
HG03874	SAS	ITU	1	shared_sites	truth_SV_length	full	71	71	69	71	59	71	59
HG03874	SAS	ITU	1	shared_sites	truth_SV_length	hprc	71	71	67	71	57	71	57
HG04199	SAS	STU	1	all_truth	ALL	full	97372	79505	79492	79501	78723	21495	18098
HG04199	SAS	STU	1	all_truth	ALL	hprc	97372	84809	84781	84806	83907	21495	20596
HG04199	SAS	STU	1	all_truth	SNV	full	79844	65182	65182	65182	64782	15691	13385
HG04199	SAS	STU	1	all_truth	SNV	hprc	79844	69977	69977	69976	69495	15691	15198
HG04199	SAS	STU	1	all_truth	SV_length_site	full	298	243	236	241	220	162	108
HG04199	SAS	STU	1	all_truth	SV_length_site	hprc	298	283	267	283	251	162	127
HG04199	SAS	STU	1	all_truth	small_complex	full	17230	14080	14074	14078	13721	5642	4605
HG04199	SAS	STU	1	all_truth	small_complex	hprc	17230	14549	14537	14547	14161	5642	5271
HG04199	SAS	STU	1	all_truth	truth_SV_length	full	77	67	63	66	53	77	53
HG04199	SAS	STU	1	all_truth	truth_SV_length	hprc	77	76	67	76	58	77	58
HG04199	SAS	STU	1	shared_sites	ALL	full	70148	70148	70138	70144	69370	18831	18082
HG04199	SAS	STU	1	shared_sites	ALL	hprc	70148	70148	70132	70145	69402	18831	18166
HG04199	SAS	STU	1	shared_sites	SNV	full	57756	57756	57756	57756	57357	13763	13370
HG04199	SAS	STU	1	shared_sites	SNV	hprc	57756	57756	57756	57755	57348	13763	13403
HG04199	SAS	STU	1	shared_sites	SV_length_site	full	235	235	228	233	212	131	108
HG04199	SAS	STU	1	shared_sites	SV_length_site	hprc	235	235	227	235	214	131	110
HG04199	SAS	STU	1	shared_sites	small_complex	full	12157	12157	12154	12155	11801	4937	4604
HG04199	SAS	STU	1	shared_sites	small_complex	hprc	12157	12157	12149	12155	11840	4937	4653
HG04199	SAS	STU	1	shared_sites	truth_SV_length	full	67	67	63	66	53	67	53
HG04199	SAS	STU	1	shared_sites	truth_SV_length	hprc	67	67	63	67	54	67	54
HG02391	EAS	CDX	2	all_truth	ALL	full	97372	79578	79565	79578	79241	14958	12092
HG02391	EAS	CDX	2	all_truth	ALL	hprc	97372	84770	84739	84768	84228	14958	14394
HG02391	EAS	CDX	2	all_truth	SNV	full	79844	65255	65255	65255	65154	11049	9098
HG02391	EAS	CDX	2	all_truth	SNV	hprc	79844	69945	69945	69945	69717	11049	10786
HG02391	EAS	CDX	2	all_truth	SV_length_site	full	298	243	235	243	216	137	78
HG02391	EAS	CDX	2	all_truth	SV_length_site	hprc	298	282	267	282	241	137	93
HG02391	EAS	CDX	2	all_truth	small_complex	full	17230	14080	14075	14080	13871	3772	2916
HG02391	EAS	CDX	2	all_truth	small_complex	hprc	17230	14543	14527	14541	14270	3772	3515
HG02391	EAS	CDX	2	all_truth	truth_SV_length	full	54	41	37	41	29	54	29
HG02391	EAS	CDX	2	all_truth	truth_SV_length	hprc	54	52	45	52	34	54	34
HG02391	EAS	CDX	2	shared_sites	ALL	full	70118	70118	70106	70118	69784	12351	12053
HG02391	EAS	CDX	2	shared_sites	ALL	hprc	70118	70118	70094	70116	69674	12351	12005
HG02391	EAS	CDX	2	shared_sites	SNV	full	57735	57735	57735	57735	57636	9156	9063
HG02391	EAS	CDX	2	shared_sites	SNV	hprc	57735	57735	57735	57735	57545	9156	9029
HG02391	EAS	CDX	2	shared_sites	SV_length_site	full	234	234	226	234	207	105	78
HG02391	EAS	CDX	2	shared_sites	SV_length_site	hprc	234	234	222	234	202	105	74
HG02391	EAS	CDX	2	shared_sites	small_complex	full	12149	12149	12145	12149	11941	3090	2912
HG02391	EAS	CDX	2	shared_sites	small_complex	hprc	12149	12149	12137	12147	11927	3090	2902
HG02391	EAS	CDX	2	shared_sites	truth_SV_length	full	41	41	37	41	29	41	29
HG02391	EAS	CDX	2	shared_sites	truth_SV_length	hprc	41	41	36	41	27	41	27
NA18570	EAS	CHB	2	all_truth	ALL	full	97372	79578	79559	79578	78845	20946	17871
NA18570	EAS	CHB	2	all_truth	ALL	hprc	97372	84770	84737	84770	83719	20946	19817
NA18570	EAS	CHB	2	all_truth	SNV	full	79844	65255	65255	65255	64926	15306	13254
NA18570	EAS	CHB	2	all_truth	SNV	hprc	79844	69945	69945	69945	69453	15306	14736
NA18570	EAS	CHB	2	all_truth	SV_length_site	full	298	243	233	243	212	157	98
NA18570	EAS	CHB	2	all_truth	SV_length_site	hprc	298	282	263	282	239	157	111
NA18570	EAS	CHB	2	all_truth	small_complex	full	17230	14080	14071	14080	13707	5483	4519
NA18570	EAS	CHB	2	all_truth	small_complex	hprc	17230	14543	14529	14543	14027	5483	4970
NA18570	EAS	CHB	2	all_truth	truth_SV_length	full	82	74	70	74	59	82	59
NA18570	EAS	CHB	2	all_truth	truth_SV_length	hprc	82	81	70	81	59	82	59
NA18570	EAS	CHB	2	shared_sites	ALL	full	70118	70118	70099	70118	69389	18514	17863
NA18570	EAS	CHB	2	shared_sites	ALL	hprc	70118	70118	70092	70118	69148	18514	17571
NA18570	EAS	CHB	2	shared_sites	SNV	full	57735	57735	57735	57735	57410	13526	13246
NA18570	EAS	CHB	2	shared_sites	SNV	hprc	57735	57735	57735	57735	57261	13526	13060
NA18570	EAS	CHB	2	shared_sites	SV_length_site	full	234	234	224	234	203	128	98
NA18570	EAS	CHB	2	shared_sites	SV_length_site	hprc	234	234	222	234	200	128	94
NA18570	EAS	CHB	2	shared_sites	small_complex	full	12149	12149	12140	12149	11776	4860	4519
NA18570	EAS	CHB	2	shared_sites	small_complex	hprc	12149	12149	12135	12149	11687	4860	4417
NA18570	EAS	CHB	2	shared_sites	truth_SV_length	full	74	74	70	74	59	74	59
NA18570	EAS	CHB	2	shared_sites	truth_SV_length	hprc	74	74	68	74	57	74	57
NA18940	EAS	JPT	2	all_truth	ALL	full	97372	79578	79559	79578	79274	21016	17772
NA18940	EAS	JPT	2	all_truth	ALL	hprc	97372	84770	84739	84769	84286	21016	20520
NA18940	EAS	JPT	2	all_truth	SNV	full	79844	65255	65254	65255	65155	15427	13157
NA18940	EAS	JPT	2	all_truth	SNV	hprc	79844	69945	69944	69945	69761	15427	15217
NA18940	EAS	JPT	2	all_truth	SV_length_site	full	298	243	240	243	222	168	116
NA18940	EAS	JPT	2	all_truth	SV_length_site	hprc	298	282	270	281	249	168	131
NA18940	EAS	JPT	2	all_truth	small_complex	full	17230	14080	14065	14080	13897	5421	4499
NA18940	EAS	JPT	2	all_truth	small_complex	hprc	17230	14543	14525	14543	14276	5421	5172
NA18940	EAS	JPT	2	all_truth	truth_SV_length	full	78	67	67	67	56	78	56
NA18940	EAS	JPT	2	all_truth	truth_SV_length	hprc	78	75	70	75	59	78	59
NA18940	EAS	JPT	2	shared_sites	ALL	full	70118	70118	70101	70118	69820	18026	17756
NA18940	EAS	JPT	2	shared_sites	ALL	hprc	70118	70118	70093	70117	69766	18026	17695
NA18940	EAS	JPT	2	shared_sites	SNV	full	57735	57735	57734	57735	57637	13232	13142
NA18940	EAS	JPT	2	shared_sites	SNV	hprc	57735	57735	57734	57735	57613	13232	13114
NA18940	EAS	JPT	2	shared_sites	SV_length_site	full	234	234	231	234	214	135	116
NA18940	EAS	JPT	2	shared_sites	SV_length_site	hprc	234	234	228	233	210	135	112
NA18940	EAS	JPT	2	shared_sites	small_complex	full	12149	12149	12136	12149	11969	4659	4498
NA18940	EAS	JPT	2	shared_sites	small_complex	hprc	12149	12149	12131	12149	11943	4659	4469
NA18940	EAS	JPT	2	shared_sites	truth_SV_length	full	66	66	66	66	56	66	56
NA18940	EAS	JPT	2	shared_sites	truth_SV_length	hprc	66	66	65	66	55	66	55
HG02027	EAS	KHV	2	all_truth	ALL	full	97372	79578	79566	79578	78638	21344	17478
HG02027	EAS	KHV	2	all_truth	ALL	hprc	97372	84770	84713	84765	83189	21344	19887
HG02027	EAS	KHV	2	all_truth	SNV	full	79844	65255	65254	65255	64740	15665	12991
HG02027	EAS	KHV	2	all_truth	SNV	hprc	79844	69945	69944	69945	69085	15665	14847
HG02027	EAS	KHV	2	all_truth	SV_length_site	full	298	243	238	243	216	171	111
HG02027	EAS	KHV	2	all_truth	SV_length_site	hprc	298	282	263	282	232	171	119
HG02027	EAS	KHV	2	all_truth	small_complex	full	17230	14080	14074	14080	13682	5508	4376
HG02027	EAS	KHV	2	all_truth	small_complex	hprc	17230	14543	14506	14538	13872	5508	4921
HG02027	EAS	KHV	2	all_truth	truth_SV_length	full	76	63	61	63	51	76	51
HG02027	EAS	KHV	2	all_truth	truth_SV_length	hprc	76	75	66	75	50	76	50
HG02027	EAS	KHV	2	shared_sites	ALL	full	70118	70118	70106	70118	69181	18182	17380
HG02027	EAS	KHV	2	shared_sites	ALL	hprc	70118	70118	70074	70113	68697	18182	17060
HG02027	EAS	KHV	2	shared_sites	SNV	full	57735	57735	57734	57735	57222	13321	12899
HG02027	EAS	KHV	2	shared_sites	SNV	hprc	57735	57735	57734	57735	56940	13321	12728
HG02027	EAS	KHV	2	shared_sites	SV_length_site	full	234	234	229	234	207	138	111
HG02027	EAS	KHV	2	shared_sites	SV_length_site	hprc	234	234	224	234	195	138	100
HG02027	EAS	KHV	2	shared_sites	small_complex	full	12149	12149	12143	12149	11752	4723	4370
HG02027	EAS	KHV	2	shared_sites	small_complex	hprc	12149	12149	12116	12144	11562	4723	4232
HG02027	EAS	KHV	2	shared_sites	truth_SV_length	full	63	63	61	63	51	63	51
HG02027	EAS	KHV	2	shared_sites	truth_SV_length	hprc	63	63	60	63	44	63	44
HG04187	SAS	BEB	2	all_truth	ALL	full	97372	79578	79564	79578	79108	20976	17914
HG04187	SAS	BEB	2	all_truth	ALL	hprc	97372	84770	84744	84768	84026	20976	20284
HG04187	SAS	BEB	2	all_truth	SNV	full	79844	65255	65255	65255	65016	15447	13284
HG04187	SAS	BEB	2	all_truth	SNV	hprc	79844	69945	69945	69945	69548	15447	15072
HG04187	SAS	BEB	2	all_truth	SV_length_site	full	298	243	237	243	222	155	104
HG04187	SAS	BEB	2	all_truth	SV_length_site	hprc	298	282	271	281	250	155	121
HG04187	SAS	BEB	2	all_truth	small_complex	full	17230	14080	14072	14080	13870	5374	4526
HG04187	SAS	BEB	2	all_truth	small_complex	hprc	17230	14543	14528	14542	14228	5374	5091
HG04187	SAS	BEB	2	all_truth	truth_SV_length	full	73	61	58	61	53	73	53
HG04187	SAS	BEB	2	all_truth	truth_SV_length	hprc	73	72	66	71	59	73	59
HG04187	SAS	BEB	2	shared_sites	ALL	full	70118	70118	70104	70118	69649	18340	17912
HG04187	SAS	BEB	2	shared_sites	ALL	hprc	70118	70118	70098	70116	69587	18340	17840
HG04187	SAS	BEB	2	shared_sites	SNV	full	57735	57735	57735	57735	57497	13497	13282
HG04187	SAS	BEB	2	shared_sites	SNV	hprc	57735	57735	57735	57735	57450	13497	13230
HG04187	SAS	BEB	2	shared_sites	SV_length_site	full	234	234	228	234	213	124	104
HG04187	SAS	BEB	2	shared_sites	SV_length_site	hprc	234	234	227	233	212	124	102
HG04187	SAS	BEB	2	shared_sites	small_complex	full	12149	12149	12141	12149	11939	4719	4526
HG04187	SAS	BEB	2	shared_sites	small_complex	hprc	12149	12149	12136	12148	11925	4719	4508
HG04187	SAS	BEB	2	shared_sites	truth_SV_length	full	61	61	58	61	53	61	53
HG04187	SAS	BEB	2	shared_sites	truth_SV_length	hprc	61	61	58	60	52	61	52
NA21144	SAS	GIH	2	all_truth	ALL	full	97372	79578	79568	79576	79196	25127	21151
NA21144	SAS	GIH	2	all_truth	ALL	hprc	97372	84770	84748	84765	83938	25127	24268
NA21144	SAS	GIH	2	all_truth	SNV	full	79844	65255	65254	65255	65080	18601	15739
NA21144	SAS	GIH	2	all_truth	SNV	hprc	79844	69945	69945	69944	69547	18601	18173
NA21144	SAS	GIH	2	all_truth	SV_length_site	full	298	243	237	242	225	167	115
NA21144	SAS	GIH	2	all_truth	SV_length_site	hprc	298	282	269	280	246	167	130
NA21144	SAS	GIH	2	all_truth	small_complex	full	17230	14080	14077	14079	13891	6359	5297
NA21144	SAS	GIH	2	all_truth	small_complex	hprc	17230	14543	14534	14541	14145	6359	5965
NA21144	SAS	GIH	2	all_truth	truth_SV_length	full	94	79	75	78	67	94	67
NA21144	SAS	GIH	2	all_truth	truth_SV_length	hprc	94	93	85	91	72	94	72
NA21144	SAS	GIH	2	shared_sites	ALL	full	70118	70118	70110	70116	69739	21498	21143
NA21144	SAS	GIH	2	shared_sites	ALL	hprc	70118	70118	70106	70115	69428	21498	20828
NA21144	SAS	GIH	2	shared_sites	SNV	full	57735	57735	57735	57735	57562	15894	15732
NA21144	SAS	GIH	2	shared_sites	SNV	hprc	57735	57735	57735	57735	57403	15894	15572
NA21144	SAS	GIH	2	shared_sites	SV_length_site	full	234	234	228	233	216	133	115
NA21144	SAS	GIH	2	shared_sites	SV_length_site	hprc	234	234	227	233	211	133	112
NA21144	SAS	GIH	2	shared_sites	small_complex	full	12149	12149	12147	12148	11961	5471	5296
NA21144	SAS	GIH	2	shared_sites	small_complex	hprc	12149	12149	12144	12147	11814	5471	5144
NA21144	SAS	GIH	2	shared_sites	truth_SV_length	full	79	79	75	78	67	79	67
NA21144	SAS	GIH	2	shared_sites	truth_SV_length	hprc	79	79	74	78	65	79	65
HG02602	SAS	PJL	2	all_truth	ALL	full	97372	79578	79557	79576	78575	23137	18862
HG02602	SAS	PJL	2	all_truth	ALL	hprc	97372	84770	84733	84765	83856	23137	22190
HG02602	SAS	PJL	2	all_truth	SNV	full	79844	65255	65254	65254	64716	17016	14058
HG02602	SAS	PJL	2	all_truth	SNV	hprc	79844	69945	69943	69945	69498	17016	16530
HG02602	SAS	PJL	2	all_truth	SV_length_site	full	298	243	236	242	216	161	102
HG02602	SAS	PJL	2	all_truth	SV_length_site	hprc	298	282	269	282	241	161	117
HG02602	SAS	PJL	2	all_truth	small_complex	full	17230	14080	14067	14080	13643	5960	4702
HG02602	SAS	PJL	2	all_truth	small_complex	hprc	17230	14543	14521	14538	14117	5960	5543
HG02602	SAS	PJL	2	all_truth	truth_SV_length	full	76	65	60	64	50	76	50
HG02602	SAS	PJL	2	all_truth	truth_SV_length	hprc	76	75	67	75	55	76	55
HG02602	SAS	PJL	2	shared_sites	ALL	full	70118	70118	70099	70116	69120	19797	18845
HG02602	SAS	PJL	2	shared_sites	ALL	hprc	70118	70118	70093	70113	69398	19797	19121
HG02602	SAS	PJL	2	shared_sites	SNV	full	57735	57735	57734	57734	57198	14555	14041
HG02602	SAS	PJL	2	shared_sites	SNV	hprc	57735	57735	57733	57735	57382	14555	14223
HG02602	SAS	PJL	2	shared_sites	SV_length_site	full	234	234	227	233	207	128	102
HG02602	SAS	PJL	2	shared_sites	SV_length_site	hprc	234	234	227	234	205	128	99
HG02602	SAS	PJL	2	shared_sites	small_complex	full	12149	12149	12138	12149	11715	5114	4702
HG02602	SAS	PJL	2	shared_sites	small_complex	hprc	12149	12149	12133	12144	11811	5114	4799
HG02602	SAS	PJL	2	shared_sites	truth_SV_length	full	65	65	60	64	50	65	50
HG02602	SAS	PJL	2	shared_sites	truth_SV_length	hprc	65	65	60	65	49	65	49
HG04115	SAS	STU	2	all_truth	ALL	full	97372	79578	79557	79574	79036	24002	20456
HG04115	SAS	STU	2	all_truth	ALL	hprc	97372	84770	84723	84763	84007	24002	23183
HG04115	SAS	STU	2	all_truth	SNV	full	79844	65255	65254	65255	65013	17683	15224
HG04115	SAS	STU	2	all_truth	SNV	hprc	79844	69945	69944	69945	69603	17683	17278
HG04115	SAS	STU	2	all_truth	SV_length_site	full	298	243	235	241	221	168	113
HG04115	SAS	STU	2	all_truth	SV_length_site	hprc	298	282	261	282	242	168	125
HG04115	SAS	STU	2	all_truth	small_complex	full	17230	14080	14068	14078	13802	6151	5119
HG04115	SAS	STU	2	all_truth	small_complex	hprc	17230	14543	14518	14536	14162	6151	5780
HG04115	SAS	STU	2	all_truth	truth_SV_length	full	84	74	69	72	62	84	62
HG04115	SAS	STU	2	all_truth	truth_SV_length	hprc	84	83	71	83	64	84	64
HG04115	SAS	STU	2	shared_sites	ALL	full	70118	70118	70097	70114	69579	20911	20422
HG04115	SAS	STU	2	shared_sites	ALL	hprc	70118	70118	70085	70113	69564	20911	20411
HG04115	SAS	STU	2	shared_sites	SNV	full	57735	57735	57734	57735	57496	15408	15196
HG04115	SAS	STU	2	shared_sites	SNV	hprc	57735	57735	57734	57735	57490	15408	15196
HG04115	SAS	STU	2	shared_sites	SV_length_site	full	234	234	226	232	212	135	113
HG04115	SAS	STU	2	shared_sites	SV_length_site	hprc	234	234	222	234	206	135	107
HG04115	SAS	STU	2	shared_sites	small_complex	full	12149	12149	12137	12147	11871	5368	5113
HG04115	SAS	STU	2	shared_sites	small_complex	hprc	12149	12149	12129	12144	11868	5368	5108
HG04115	SAS	STU	2	shared_sites	truth_SV_length	full	74	74	69	72	62	74	62
HG04115	SAS	STU	2	shared_sites	truth_SV_length	hprc	74	74	66	74	59	74	59
HG02165	EAS	CDX	3	all_truth	ALL	full	97372	79591	79584	79591	79199	18557	15086
HG02165	EAS	CDX	3	all_truth	ALL	hprc	97372	85022	85003	85021	84500	18557	18156
HG02165	EAS	CDX	3	all_truth	SNV	full	79844	65262	65262	65262	65079	13693	11210
HG02165	EAS	CDX	3	all_truth	SNV	hprc	79844	70170	70170	70170	69919	13693	13527
HG02165	EAS	CDX	3	all_truth	SV_length_site	full	298	243	239	243	225	151	102
HG02165	EAS	CDX	3	all_truth	SV_length_site	hprc	298	283	273	282	254	151	121
HG02165	EAS	CDX	3	all_truth	small_complex	full	17230	14086	14083	14086	13895	4713	3774
HG02165	EAS	CDX	3	all_truth	small_complex	hprc	17230	14569	14560	14569	14327	4713	4508
HG02165	EAS	CDX	3	all_truth	truth_SV_length	full	64	49	47	49	44	64	44
HG02165	EAS	CDX	3	all_truth	truth_SV_length	hprc	64	63	56	63	50	64	50
HG02165	EAS	CDX	3	shared_sites	ALL	full	70324	70324	70317	70324	69933	15378	15077
HG02165	EAS	CDX	3	shared_sites	ALL	hprc	70324	70324	70310	70323	69948	15378	15114
HG02165	EAS	CDX	3	shared_sites	SNV	full	57915	57915	57915	57915	57733	11324	11201
HG02165	EAS	CDX	3	shared_sites	SNV	hprc	57915	57915	57915	57915	57747	11324	11234
HG02165	EAS	CDX	3	shared_sites	SV_length_site	full	235	235	231	235	217	119	102
HG02165	EAS	CDX	3	shared_sites	SV_length_site	hprc	235	235	230	234	214	119	99
HG02165	EAS	CDX	3	shared_sites	small_complex	full	12174	12174	12171	12174	11983	3935	3774
HG02165	EAS	CDX	3	shared_sites	small_complex	hprc	12174	12174	12165	12174	11987	3935	3781
HG02165	EAS	CDX	3	shared_sites	truth_SV_length	full	49	49	47	49	44	49	44
HG02165	EAS	CDX	3	shared_sites	truth_SV_length	hprc	49	49	47	49	42	49	42
HG00558	EAS	CHS	3	all_truth	ALL	full	97372	79591	79576	79590	78894	23033	18941
HG00558	EAS	CHS	3	all_truth	ALL	hprc	97372	85022	84988	85021	84137	23033	22087
HG00558	EAS	CHS	3	all_truth	SNV	full	79844	65262	65262	65262	64880	16987	14096
HG00558	EAS	CHS	3	all_truth	SNV	hprc	79844	70170	70169	70170	69713	16987	16474
HG00558	EAS	CHS	3	all_truth	SV_length_site	full	298	243	234	243	216	159	100
HG00558	EAS	CHS	3	all_truth	SV_length_site	hprc	298	283	269	283	245	159	117
HG00558	EAS	CHS	3	all_truth	small_complex	full	17230	14086	14080	14085	13798	5887	4745
HG00558	EAS	CHS	3	all_truth	small_complex	hprc	17230	14569	14550	14568	14179	5887	5496
HG00558	EAS	CHS	3	all_truth	truth_SV_length	full	81	70	64	70	57	81	57
HG00558	EAS	CHS	3	all_truth	truth_SV_length	hprc	81	79	70	79	59	81	59
HG00558	EAS	CHS	3	shared_sites	ALL	full	70324	70324	70309	70323	69629	19585	18939
HG00558	EAS	CHS	3	shared_sites	ALL	hprc	70324	70324	70302	70323	69581	19585	18913
HG00558	EAS	CHS	3	shared_sites	SNV	full	57915	57915	57915	57915	57535	14441	14094
HG00558	EAS	CHS	3	shared_sites	SNV	hprc	57915	57915	57914	57915	57521	14441	14095
HG00558	EAS	CHS	3	shared_sites	SV_length_site	full	235	235	226	235	208	126	100
HG00558	EAS	CHS	3	shared_sites	SV_length_site	hprc	235	235	225	235	207	126	98
HG00558	EAS	CHS	3	shared_sites	small_complex	full	12174	12174	12168	12173	11886	5018	4745
HG00558	EAS	CHS	3	shared_sites	small_complex	hprc	12174	12174	12163	12173	11853	5018	4720
HG00558	EAS	CHS	3	shared_sites	truth_SV_length	full	70	70	64	70	57	70	57
HG00558	EAS	CHS	3	shared_sites	truth_SV_length	hprc	70	70	64	70	54	70	54
NA18952	EAS	JPT	3	all_truth	ALL	full	97372	79591	79571	79591	79285	20838	17302
NA18952	EAS	JPT	3	all_truth	ALL	hprc	97372	85022	84989	85019	84544	20838	20374
NA18952	EAS	JPT	3	all_truth	SNV	full	79844	65262	65262	65262	65165	15251	12721
NA18952	EAS	JPT	3	all_truth	SNV	hprc	79844	70170	70170	70170	70002	15251	15076
NA18952	EAS	JPT	3	all_truth	SV_length_site	full	298	243	233	243	214	160	99
NA18952	EAS	JPT	3	all_truth	SV_length_site	hprc	298	283	267	283	241	160	115
NA18952	EAS	JPT	3	all_truth	small_complex	full	17230	14086	14076	14086	13906	5427	4482
NA18952	EAS	JPT	3	all_truth	small_complex	hprc	17230	14569	14552	14566	14301	5427	5183
NA18952	EAS	JPT	3	all_truth	truth_SV_length	full	71	60	56	60	50	71	50
NA18952	EAS	JPT	3	all_truth	truth_SV_length	hprc	71	70	62	70	49	71	49
NA18952	EAS	JPT	3	shared_sites	ALL	full	70324	70324	70305	70324	70020	17539	17292
NA18952	EAS	JPT	3	shared_sites	ALL	hprc	70324	70324	70298	70321	69970	17539	17246
NA18952	EAS	JPT	3	shared_sites	SNV	full	57915	57915	57915	57915	57819	12777	12711
NA18952	EAS	JPT	3	shared_sites	SNV	hprc	57915	57915	57915	57915	57799	12777	12693
NA18952	EAS	JPT	3	shared_sites	SV_length_site	full	235	235	225	235	206	127	99
NA18952	EAS	JPT	3	shared_sites	SV_length_site	hprc	235	235	223	235	203	127	95
NA18952	EAS	JPT	3	shared_sites	small_complex	full	12174	12174	12165	12174	11995	4635	4482
NA18952	EAS	JPT	3	shared_sites	small_complex	hprc	12174	12174	12160	12171	11968	4635	4458
NA18952	EAS	JPT	3	shared_sites	truth_SV_length	full	60	60	56	60	50	60	50
NA18952	EAS	JPT	3	shared_sites	truth_SV_length	hprc	60	60	56	60	46	60	46
HG02523	EAS	KHV	3	all_truth	ALL	full	97372	79591	79585	79591	79147	22124	18703
HG02523	EAS	KHV	3	all_truth	ALL	hprc	97372	85022	85004	85022	84298	22124	21388
HG02523	EAS	KHV	3	all_truth	SNV	full	79844	65262	65262	65262	65035	16259	13835
HG02523	EAS	KHV	3	all_truth	SNV	hprc	79844	70170	70169	70170	69802	16259	15876
HG02523	EAS	KHV	3	all_truth	SV_length_site	full	298	243	238	243	227	158	110
HG02523	EAS	KHV	3	all_truth	SV_length_site	hprc	298	283	275	283	254	158	126
HG02523	EAS	KHV	3	all_truth	small_complex	full	17230	14086	14085	14086	13885	5707	4758
HG02523	EAS	KHV	3	all_truth	small_complex	hprc	17230	14569	14560	14569	14242	5707	5386
HG02523	EAS	KHV	3	all_truth	truth_SV_length	full	75	62	60	62	54	75	54
HG02523	EAS	KHV	3	all_truth	truth_SV_length	hprc	75	74	69	74	57	75	57
HG02523	EAS	KHV	3	shared_sites	ALL	full	70324	70324	70318	70324	69882	19118	18697
HG02523	EAS	KHV	3	shared_sites	ALL	hprc	70324	70324	70313	70324	69760	19118	18596
HG02523	EAS	KHV	3	shared_sites	SNV	full	57915	57915	57915	57915	57690	14041	13830
HG02523	EAS	KHV	3	shared_sites	SNV	hprc	57915	57915	57914	57915	57628	14041	13782
HG02523	EAS	KHV	3	shared_sites	SV_length_site	full	235	235	230	235	219	126	110
HG02523	EAS	KHV	3	shared_sites	SV_length_site	hprc	235	235	230	235	214	126	105
HG02523	EAS	KHV	3	shared_sites	small_complex	full	12174	12174	12173	12174	11973	4951	4757
HG02523	EAS	KHV	3	shared_sites	small_complex	hprc	12174	12174	12169	12174	11918	4951	4709
HG02523	EAS	KHV	3	shared_sites	truth_SV_length	full	62	62	60	62	54	62	54
HG02523	EAS	KHV	3	shared_sites	truth_SV_length	hprc	62	62	60	62	51	62	51
HG03927	SAS	BEB	3	all_truth	ALL	full	97372	79591	79570	79591	79060	23317	19179
HG03927	SAS	BEB	3	all_truth	ALL	hprc	97372	85022	84988	85021	83965	23317	22281
HG03927	SAS	BEB	3	all_truth	SNV	full	79844	65262	65262	65262	65031	17104	14187
HG03927	SAS	BEB	3	all_truth	SNV	hprc	79844	70170	70169	70170	69635	17104	16573
HG03927	SAS	BEB	3	all_truth	SV_length_site	full	298	243	234	243	210	171	104
HG03927	SAS	BEB	3	all_truth	SV_length_site	hprc	298	283	269	282	240	171	125
HG03927	SAS	BEB	3	all_truth	small_complex	full	17230	14086	14074	14086	13819	6042	4888
HG03927	SAS	BEB	3	all_truth	small_complex	hprc	17230	14569	14550	14569	14090	6042	5583
HG03927	SAS	BEB	3	all_truth	truth_SV_length	full	84	72	69	72	57	84	57
HG03927	SAS	BEB	3	all_truth	truth_SV_length	hprc	84	83	78	83	65	84	65
HG03927	SAS	BEB	3	shared_sites	ALL	full	70324	70324	70304	70324	69795	19635	19179
HG03927	SAS	BEB	3	shared_sites	ALL	hprc	70324	70324	70301	70323	69580	19635	18944
HG03927	SAS	BEB	3	shared_sites	SNV	full	57915	57915	57915	57915	57685	14369	14187
HG03927	SAS	BEB	3	shared_sites	SNV	hprc	57915	57915	57915	57915	57564	14369	14052
HG03927	SAS	BEB	3	shared_sites	SV_length_site	full	235	235	226	235	202	137	104
HG03927	SAS	BEB	3	shared_sites	SV_length_site	hprc	235	235	226	234	202	137	104
HG03927	SAS	BEB	3	shared_sites	small_complex	full	12174	12174	12163	12174	11908	5129	4888
HG03927	SAS	BEB	3	shared_sites	small_complex	hprc	12174	12174	12160	12174	11814	5129	4788
HG03927	SAS	BEB	3	shared_sites	truth_SV_length	full	72	72	69	72	57	72	57
HG03927	SAS	BEB	3	shared_sites	truth_SV_length	hprc	72	72	69	72	57	72	57
NA21106	SAS	GIH	3	all_truth	ALL	full	97372	79591	79573	79589	79338	17658	14764
NA21106	SAS	GIH	3	all_truth	ALL	hprc	97372	85022	84993	85022	84693	17658	17283
NA21106	SAS	GIH	3	all_truth	SNV	full	79844	65262	65261	65262	65196	13144	11153
NA21106	SAS	GIH	3	all_truth	SNV	hprc	79844	70170	70169	70170	70082	13144	13005
NA21106	SAS	GIH	3	all_truth	SV_length_site	full	298	243	237	242	222	154	99
NA21106	SAS	GIH	3	all_truth	SV_length_site	hprc	298	283	269	283	256	154	124
NA21106	SAS	GIH	3	all_truth	small_complex	full	17230	14086	14075	14085	13920	4360	3512
