donor	stratum	population	fold	universe	variant_class	arm	n	site_present	represented	called	correct	nonref_n	nonref_correct
HG00706	EAS	CHS	0	shared_sites	truth_SV_length	full	42	42	39	42	33	42	33
HG00706	EAS	CHS	0	shared_sites	truth_SV_length	hprc	42	42	39	42	35	42	35
NA19087	EAS	JPT	0	all_truth	ALL	full	97372	79556	79545	79556	79223	23886	19933
NA19087	EAS	JPT	0	all_truth	ALL	hprc	97372	84869	84855	84865	83980	23886	23068
NA19087	EAS	JPT	0	all_truth	SNV	full	79844	65229	65228	65229	65095	17629	14793
NA19087	EAS	JPT	0	all_truth	SNV	hprc	79844	70020	70020	70020	69560	17629	17221
NA19087	EAS	JPT	0	all_truth	SV_length_site	full	298	242	237	242	225	167	116
NA19087	EAS	JPT	0	all_truth	SV_length_site	hprc	298	282	275	281	249	167	131
NA19087	EAS	JPT	0	all_truth	small_complex	full	17230	14085	14080	14085	13903	6090	5024
NA19087	EAS	JPT	0	all_truth	small_complex	hprc	17230	14567	14560	14564	14171	6090	5716
NA19087	EAS	JPT	0	all_truth	truth_SV_length	full	82	69	65	69	58	82	58
NA19087	EAS	JPT	0	all_truth	truth_SV_length	hprc	82	81	75	80	61	82	61
NA19087	EAS	JPT	0	shared_sites	ALL	full	70187	70187	70177	70187	69856	20234	19931
NA19087	EAS	JPT	0	shared_sites	ALL	hprc	70187	70187	70175	70183	69437	20234	19555
NA19087	EAS	JPT	0	shared_sites	SNV	full	57787	57787	57787	57787	57655	14910	14791
NA19087	EAS	JPT	0	shared_sites	SNV	hprc	57787	57787	57787	57787	57409	14910	14578
NA19087	EAS	JPT	0	shared_sites	SV_length_site	full	234	234	229	234	217	133	116
NA19087	EAS	JPT	0	shared_sites	SV_length_site	hprc	234	234	229	233	210	133	109
NA19087	EAS	JPT	0	shared_sites	small_complex	full	12166	12166	12161	12166	11984	5191	5024
NA19087	EAS	JPT	0	shared_sites	small_complex	hprc	12166	12166	12159	12163	11818	5191	4868
NA19087	EAS	JPT	0	shared_sites	truth_SV_length	full	69	69	65	69	58	69	58
NA19087	EAS	JPT	0	shared_sites	truth_SV_length	hprc	69	69	65	68	53	69	53
HG03804	SAS	BEB	0	all_truth	ALL	full	97372	79556	79545	79555	79137	16356	13035
HG03804	SAS	BEB	0	all_truth	ALL	hprc	97372	84869	84850	84864	84462	16356	15890
HG03804	SAS	BEB	0	all_truth	SNV	full	79844	65229	65229	65229	65015	12128	9788
HG03804	SAS	BEB	0	all_truth	SNV	hprc	79844	70020	70020	70018	69833	12128	11893
HG03804	SAS	BEB	0	all_truth	SV_length_site	full	298	242	238	241	222	129	79
HG03804	SAS	BEB	0	all_truth	SV_length_site	hprc	298	282	274	281	258	129	101
HG03804	SAS	BEB	0	all_truth	small_complex	full	17230	14085	14078	14085	13900	4099	3168
HG03804	SAS	BEB	0	all_truth	small_complex	hprc	17230	14567	14556	14565	14371	4099	3896
HG03804	SAS	BEB	0	all_truth	truth_SV_length	full	56	44	43	43	35	56	35
HG03804	SAS	BEB	0	all_truth	truth_SV_length	hprc	56	54	51	53	45	56	45
HG03804	SAS	BEB	0	shared_sites	ALL	full	70187	70187	70177	70186	69769	13311	13031
HG03804	SAS	BEB	0	shared_sites	ALL	hprc	70187	70187	70173	70182	69919	13311	13067
HG03804	SAS	BEB	0	shared_sites	SNV	full	57787	57787	57787	57787	57573	9901	9784
HG03804	SAS	BEB	0	shared_sites	SNV	hprc	57787	57787	57787	57785	57671	9901	9799
HG03804	SAS	BEB	0	shared_sites	SV_length_site	full	234	234	230	233	214	99	79
HG03804	SAS	BEB	0	shared_sites	SV_length_site	hprc	234	234	229	233	217	99	82
HG03804	SAS	BEB	0	shared_sites	small_complex	full	12166	12166	12160	12166	11982	3311	3168
HG03804	SAS	BEB	0	shared_sites	small_complex	hprc	12166	12166	12157	12164	12031	3311	3186
HG03804	SAS	BEB	0	shared_sites	truth_SV_length	full	44	44	43	43	35	44	35
HG03804	SAS	BEB	0	shared_sites	truth_SV_length	hprc	44	44	43	43	38	44	38
NA21093	SAS	GIH	0	all_truth	ALL	full	97372	79556	79544	79556	79191	20535	17657
NA21093	SAS	GIH	0	all_truth	ALL	hprc	97372	84869	84849	84866	84437	20535	20126
NA21093	SAS	GIH	0	all_truth	SNV	full	79844	65229	65229	65229	65073	15009	12995
NA21093	SAS	GIH	0	all_truth	SNV	hprc	79844	70020	70020	70020	69861	15009	14840
NA21093	SAS	GIH	0	all_truth	SV_length_site	full	298	242	238	242	223	158	110
NA21093	SAS	GIH	0	all_truth	SV_length_site	hprc	298	282	274	281	256	158	129
NA21093	SAS	GIH	0	all_truth	small_complex	full	17230	14085	14077	14085	13895	5368	4552
NA21093	SAS	GIH	0	all_truth	small_complex	hprc	17230	14567	14555	14565	14320	5368	5157
NA21093	SAS	GIH	0	all_truth	truth_SV_length	full	82	73	71	73	66	82	66
NA21093	SAS	GIH	0	all_truth	truth_SV_length	hprc	82	81	75	80	69	82	69
NA21093	SAS	GIH	0	shared_sites	ALL	full	70187	70187	70175	70187	69824	17951	17644
NA21093	SAS	GIH	0	shared_sites	ALL	hprc	70187	70187	70174	70186	69899	17951	17696
NA21093	SAS	GIH	0	shared_sites	SNV	full	57787	57787	57787	57787	57632	13109	12982
NA21093	SAS	GIH	0	shared_sites	SNV	hprc	57787	57787	57787	57787	57688	13109	13022
NA21093	SAS	GIH	0	shared_sites	SV_length_site	full	234	234	230	234	215	128	110
NA21093	SAS	GIH	0	shared_sites	SV_length_site	hprc	234	234	229	233	218	128	112
NA21093	SAS	GIH	0	shared_sites	small_complex	full	12166	12166	12158	12166	11977	4714	4552
NA21093	SAS	GIH	0	shared_sites	small_complex	hprc	12166	12166	12158	12166	11993	4714	4562
NA21093	SAS	GIH	0	shared_sites	truth_SV_length	full	73	73	71	73	66	73	66
NA21093	SAS	GIH	0	shared_sites	truth_SV_length	hprc	73	73	70	72	66	73	66
HG03742	SAS	ITU	0	all_truth	ALL	full	97372	79556	79543	79556	79174	21504	18332
HG03742	SAS	ITU	0	all_truth	ALL	hprc	97372	84869	84843	84868	84358	21504	20944
HG03742	SAS	ITU	0	all_truth	SNV	full	79844	65229	65229	65229	65052	15826	13551
HG03742	SAS	ITU	0	all_truth	SNV	hprc	79844	70020	70019	70020	69791	15826	15540
HG03742	SAS	ITU	0	all_truth	SV_length_site	full	298	242	234	242	219	160	108
HG03742	SAS	ITU	0	all_truth	SV_length_site	hprc	298	282	267	281	245	160	122
HG03742	SAS	ITU	0	all_truth	small_complex	full	17230	14085	14080	14085	13903	5518	4673
HG03742	SAS	ITU	0	all_truth	small_complex	hprc	17230	14567	14557	14567	14322	5518	5282
HG03742	SAS	ITU	0	all_truth	truth_SV_length	full	82	72	69	72	61	82	61
HG03742	SAS	ITU	0	all_truth	truth_SV_length	hprc	82	81	74	81	64	82	64
HG03742	SAS	ITU	0	shared_sites	ALL	full	70187	70187	70175	70187	69809	18656	18311
HG03742	SAS	ITU	0	shared_sites	ALL	hprc	70187	70187	70166	70186	69764	18656	18279
HG03742	SAS	ITU	0	shared_sites	SNV	full	57787	57787	57787	57787	57613	13695	13532
HG03742	SAS	ITU	0	shared_sites	SNV	hprc	57787	57787	57786	57787	57587	13695	13520
HG03742	SAS	ITU	0	shared_sites	SV_length_site	full	234	234	226	234	211	130	108
HG03742	SAS	ITU	0	shared_sites	SV_length_site	hprc	234	234	223	233	207	130	104
HG03742	SAS	ITU	0	shared_sites	small_complex	full	12166	12166	12162	12166	11985	4831	4671
HG03742	SAS	ITU	0	shared_sites	small_complex	hprc	12166	12166	12157	12166	11970	4831	4655
HG03742	SAS	ITU	0	shared_sites	truth_SV_length	full	72	72	69	72	61	72	61
HG03742	SAS	ITU	0	shared_sites	truth_SV_length	hprc	72	72	67	72	59	72	59
HG03239	SAS	PJL	0	all_truth	ALL	full	97372	79556	79538	79554	79158	23533	19769
HG03239	SAS	PJL	0	all_truth	ALL	hprc	97372	84869	84834	84869	83813	23533	22459
HG03239	SAS	PJL	0	all_truth	SNV	full	79844	65229	65229	65229	65067	17393	14697
HG03239	SAS	PJL	0	all_truth	SNV	hprc	79844	70020	70019	70020	69479	17393	16824
HG03239	SAS	PJL	0	all_truth	SV_length_site	full	298	242	235	242	217	171	116
HG03239	SAS	PJL	0	all_truth	SV_length_site	hprc	298	282	268	282	240	171	128
HG03239	SAS	PJL	0	all_truth	small_complex	full	17230	14085	14074	14083	13874	5969	4956
HG03239	SAS	PJL	0	all_truth	small_complex	hprc	17230	14567	14547	14567	14094	5969	5507
HG03239	SAS	PJL	0	all_truth	truth_SV_length	full	90	78	76	78	64	90	64
HG03239	SAS	PJL	0	all_truth	truth_SV_length	hprc	90	89	82	89	64	90	64
HG03239	SAS	PJL	0	shared_sites	ALL	full	70187	70187	70169	70185	69790	20113	19749
HG03239	SAS	PJL	0	shared_sites	ALL	hprc	70187	70187	70163	70187	69352	20113	19377
HG03239	SAS	PJL	0	shared_sites	SNV	full	57787	57787	57787	57787	57625	14827	14678
HG03239	SAS	PJL	0	shared_sites	SNV	hprc	57787	57787	57787	57787	57365	14827	14475
HG03239	SAS	PJL	0	shared_sites	SV_length_site	full	234	234	227	234	209	140	116
HG03239	SAS	PJL	0	shared_sites	SV_length_site	hprc	234	234	226	234	202	140	109
HG03239	SAS	PJL	0	shared_sites	small_complex	full	12166	12166	12155	12164	11956	5146	4955
HG03239	SAS	PJL	0	shared_sites	small_complex	hprc	12166	12166	12150	12166	11785	5146	4793
HG03239	SAS	PJL	0	shared_sites	truth_SV_length	full	78	78	76	78	64	78	64
HG03239	SAS	PJL	0	shared_sites	truth_SV_length	hprc	78	78	75	78	60	78	60
HG02178	EAS	CDX	1	all_truth	ALL	full	97372	79505	79487	79505	79105	20264	17450
HG02178	EAS	CDX	1	all_truth	ALL	hprc	97372	84809	84772	84809	84313	20264	19714
HG02178	EAS	CDX	1	all_truth	SNV	full	79844	65182	65182	65182	65015	14784	12859
HG02178	EAS	CDX	1	all_truth	SNV	hprc	79844	69977	69977	69977	69777	14784	14526
HG02178	EAS	CDX	1	all_truth	SV_length_site	full	298	243	235	243	221	153	101
HG02178	EAS	CDX	1	all_truth	SV_length_site	hprc	298	283	267	283	252	153	121
HG02178	EAS	CDX	1	all_truth	small_complex	full	17230	14080	14070	14080	13869	5327	4490
HG02178	EAS	CDX	1	all_truth	small_complex	hprc	17230	14549	14528	14549	14284	5327	5067
HG02178	EAS	CDX	1	all_truth	truth_SV_length	full	69	56	51	56	46	69	46
HG02178	EAS	CDX	1	all_truth	truth_SV_length	hprc	69	68	58	68	56	69	56
HG02178	EAS	CDX	1	shared_sites	ALL	full	70148	70148	70131	70148	69751	17815	17441
HG02178	EAS	CDX	1	shared_sites	ALL	hprc	70148	70148	70121	70148	69768	17815	17460
HG02178	EAS	CDX	1	shared_sites	SNV	full	57756	57756	57756	57756	57591	13006	12851
HG02178	EAS	CDX	1	shared_sites	SNV	hprc	57756	57756	57756	57756	57602	13006	12864
HG02178	EAS	CDX	1	shared_sites	SV_length_site	full	235	235	227	235	213	123	101
HG02178	EAS	CDX	1	shared_sites	SV_length_site	hprc	235	235	224	235	211	123	100
HG02178	EAS	CDX	1	shared_sites	small_complex	full	12157	12157	12148	12157	11947	4686	4489
HG02178	EAS	CDX	1	shared_sites	small_complex	hprc	12157	12157	12141	12157	11955	4686	4496
HG02178	EAS	CDX	1	shared_sites	truth_SV_length	full	56	56	51	56	46	56	46
HG02178	EAS	CDX	1	shared_sites	truth_SV_length	hprc	56	56	50	56	48	56	48
NA18608	EAS	CHB	1	all_truth	ALL	full	97372	79505	79483	79505	79102	19140	15338
NA18608	EAS	CHB	1	all_truth	ALL	hprc	97372	84809	84766	84809	84281	19140	18551
NA18608	EAS	CHB	1	all_truth	SNV	full	79844	65182	65180	65182	65042	14046	11357
NA18608	EAS	CHB	1	all_truth	SNV	hprc	79844	69977	69975	69977	69799	14046	13798
NA18608	EAS	CHB	1	all_truth	SV_length_site	full	298	243	237	243	209	162	95
NA18608	EAS	CHB	1	all_truth	SV_length_site	hprc	298	283	263	283	229	162	107
NA18608	EAS	CHB	1	all_truth	small_complex	full	17230	14080	14066	14080	13851	4932	3886
NA18608	EAS	CHB	1	all_truth	small_complex	hprc	17230	14549	14528	14549	14253	4932	4646
NA18608	EAS	CHB	1	all_truth	truth_SV_length	full	66	54	51	54	40	66	40
NA18608	EAS	CHB	1	all_truth	truth_SV_length	hprc	66	65	53	65	46	66	46
NA18608	EAS	CHB	1	shared_sites	ALL	full	70148	70148	70128	70148	69752	15678	15322
NA18608	EAS	CHB	1	shared_sites	ALL	hprc	70148	70148	70121	70148	69770	15678	15350
NA18608	EAS	CHB	1	shared_sites	SNV	full	57756	57756	57755	57756	57621	11464	11343
NA18608	EAS	CHB	1	shared_sites	SNV	hprc	57756	57756	57755	57756	57634	11464	11363
NA18608	EAS	CHB	1	shared_sites	SV_length_site	full	235	235	229	235	201	126	95
NA18608	EAS	CHB	1	shared_sites	SV_length_site	hprc	235	235	226	235	201	126	94
NA18608	EAS	CHB	1	shared_sites	small_complex	full	12157	12157	12144	12157	11930	4088	3884
NA18608	EAS	CHB	1	shared_sites	small_complex	hprc	12157	12157	12140	12157	11935	4088	3893
NA18608	EAS	CHB	1	shared_sites	truth_SV_length	full	54	54	51	54	40	54	40
NA18608	EAS	CHB	1	shared_sites	truth_SV_length	hprc	54	54	49	54	43	54	43
HG00658	EAS	CHS	1	all_truth	ALL	full	97372	79505	79487	79501	78609	20759	17055
HG00658	EAS	CHS	1	all_truth	ALL	hprc	97372	84809	84775	84806	83898	20759	19804
HG00658	EAS	CHS	1	all_truth	SNV	full	79844	65182	65181	65182	64759	15276	12747
HG00658	EAS	CHS	1	all_truth	SNV	hprc	79844	69977	69976	69977	69541	15276	14779
HG00658	EAS	CHS	1	all_truth	SV_length_site	full	298	243	237	242	207	163	96
HG00658	EAS	CHS	1	all_truth	SV_length_site	hprc	298	283	267	281	234	163	112
HG00658	EAS	CHS	1	all_truth	small_complex	full	17230	14080	14069	14077	13643	5320	4212
HG00658	EAS	CHS	1	all_truth	small_complex	hprc	17230	14549	14532	14548	14123	5320	4913
HG00658	EAS	CHS	1	all_truth	truth_SV_length	full	78	64	59	63	41	78	41
HG00658	EAS	CHS	1	all_truth	truth_SV_length	hprc	78	77	65	75	48	78	48
HG00658	EAS	CHS	1	shared_sites	ALL	full	70148	70148	70130	70144	69256	17876	17050
HG00658	EAS	CHS	1	shared_sites	ALL	hprc	70148	70148	70122	70145	69362	17876	17161
HG00658	EAS	CHS	1	shared_sites	SNV	full	57756	57756	57755	57756	57336	13120	12742
HG00658	EAS	CHS	1	shared_sites	SNV	hprc	57756	57756	57755	57756	57366	13120	12774
HG00658	EAS	CHS	1	shared_sites	SV_length_site	full	235	235	229	234	199	131	96
HG00658	EAS	CHS	1	shared_sites	SV_length_site	hprc	235	235	224	233	195	131	92
HG00658	EAS	CHS	1	shared_sites	small_complex	full	12157	12157	12146	12154	11721	4625	4212
HG00658	EAS	CHS	1	shared_sites	small_complex	hprc	12157	12157	12143	12156	11801	4625	4295
HG00658	EAS	CHS	1	shared_sites	truth_SV_length	full	64	64	59	63	41	64	41
HG00658	EAS	CHS	1	shared_sites	truth_SV_length	hprc	64	64	56	62	40	64	40
HG02132	EAS	KHV	1	all_truth	ALL	full	97372	79505	79498	79498	78973	24223	20058
HG02132	EAS	KHV	1	all_truth	ALL	hprc	97372	84809	84791	84803	83829	24223	23264
HG02132	EAS	KHV	1	all_truth	SNV	full	79844	65182	65182	65182	64919	17997	14971
HG02132	EAS	KHV	1	all_truth	SNV	hprc	79844	69977	69977	69974	69452	17997	17488
HG02132	EAS	KHV	1	all_truth	SV_length_site	full	298	243	239	242	221	169	115
HG02132	EAS	KHV	1	all_truth	SV_length_site	hprc	298	283	270	283	247	169	129
HG02132	EAS	KHV	1	all_truth	small_complex	full	17230	14080	14077	14074	13833	6057	4972
HG02132	EAS	KHV	1	all_truth	small_complex	hprc	17230	14549	14544	14546	14130	6057	5647
HG02132	EAS	KHV	1	all_truth	truth_SV_length	full	88	73	70	72	63	88	63
HG02132	EAS	KHV	1	all_truth	truth_SV_length	hprc	88	86	79	86	64	88	64
HG02132	EAS	KHV	1	shared_sites	ALL	full	70148	70148	70141	70141	69619	20489	20050
HG02132	EAS	KHV	1	shared_sites	ALL	hprc	70148	70148	70137	70142	69333	20489	19792
HG02132	EAS	KHV	1	shared_sites	SNV	full	57756	57756	57756	57756	57495	15162	14963
HG02132	EAS	KHV	1	shared_sites	SNV	hprc	57756	57756	57756	57753	57318	15162	14818
HG02132	EAS	KHV	1	shared_sites	SV_length_site	full	235	235	231	234	213	136	115
HG02132	EAS	KHV	1	shared_sites	SV_length_site	hprc	235	235	228	235	208	136	109
HG02132	EAS	KHV	1	shared_sites	small_complex	full	12157	12157	12154	12151	11911	5191	4972
HG02132	EAS	KHV	1	shared_sites	small_complex	hprc	12157	12157	12153	12154	11807	5191	4865
HG02132	EAS	KHV	1	shared_sites	truth_SV_length	full	73	73	70	72	63	73	63
HG02132	EAS	KHV	1	shared_sites	truth_SV_length	hprc	73	73	70	73	56	73	56
HG03831	SAS	BEB	1	all_truth	ALL	full	97372	79505	79488	79505	79051	20250	16437
HG03831	SAS	BEB	1	all_truth	ALL	hprc	97372	84809	84762	84806	84131	20250	19468
HG03831	SAS	BEB	1	all_truth	SNV	full	79844	65182	65181	65182	64981	15139	12461
HG03831	SAS	BEB	1	all_truth	SNV	hprc	79844	69977	69976	69977	69667	15139	14734
HG03831	SAS	BEB	1	all_truth	SV_length_site	full	298	243	237	243	222	165	107
HG03831	SAS	BEB	1	all_truth	SV_length_site	hprc	298	283	264	282	240	165	119
HG03831	SAS	BEB	1	all_truth	small_complex	full	17230	14080	14070	14080	13848	4946	3869
HG03831	SAS	BEB	1	all_truth	small_complex	hprc	17230	14549	14522	14547	14224	4946	4615
HG03831	SAS	BEB	1	all_truth	truth_SV_length	full	77	59	56	59	51	77	51
HG03831	SAS	BEB	1	all_truth	truth_SV_length	hprc	77	75	65	75	56	77	56
HG03831	SAS	BEB	1	shared_sites	ALL	full	70148	70148	70132	70148	69698	16786	16393
HG03831	SAS	BEB	1	shared_sites	ALL	hprc	70148	70148	70117	70145	69616	16786	16295
HG03831	SAS	BEB	1	shared_sites	SNV	full	57756	57756	57756	57756	57559	12583	12418
HG03831	SAS	BEB	1	shared_sites	SNV	hprc	57756	57756	57755	57756	57515	12583	12366
HG03831	SAS	BEB	1	shared_sites	SV_length_site	full	235	235	229	235	214	127	107
HG03831	SAS	BEB	1	shared_sites	SV_length_site	hprc	235	235	227	234	208	127	100
HG03831	SAS	BEB	1	shared_sites	small_complex	full	12157	12157	12147	12157	11925	4076	3868
HG03831	SAS	BEB	1	shared_sites	small_complex	hprc	12157	12157	12135	12155	11893	4076	3829
HG03831	SAS	BEB	1	shared_sites	truth_SV_length	full	59	59	56	59	51	59	51
