arm	gene	gene_pairs	global_edits	exact_genes	truth_bases	reconstructed_bases	masked_bases	legacy_infix_edits	two_field_eligible	two_field_correct	g_group_eligible	g_group_correct	three_field_eligible	three_field_correct
AG-homozygous	A	3	0	6	21045	21045	0	0	3	3	3	3	3	3
AG-homozygous	ALL	24	9616	22	344007	351767	2894	3659	24	24	24	23	23	23
AG-homozygous	B	3	13	4	24520	24509	0	13	3	3	3	3	3	3
AG-homozygous	C	3	21	5	25799	25820	0	0	3	3	3	3	3	3
AG-homozygous	DPA1	3	4514	0	54338	58818	144	150	3	3	3	3	3	3
AG-homozygous	DPB1	3	278	1	68916	68915	276	278	3	3	3	3	3	3
AG-homozygous	DQA1	3	0	6	38910	38910	0	0	3	3	3	3	3	3
AG-homozygous	DQB1	3	2517	0	42632	44984	2474	2517	3	3	3	3	3	3
AG-homozygous	DRB1	3	2273	0	67847	68766	0	701	3	3	3	2	2	2
