donor	control	estimate	call	truth
NA18620	WHR1_unique_region	4.023354785764595	4	4
NA18620	TNXB_distal_region	4.028579361426615	4	4
NA18747	WHR1_unique_region	3.8465706822299564	4	4
NA18747	TNXB_distal_region	3.8611095543849023	4	4
NA18879	WHR1_unique_region	2.7416290439624844	3	3
NA18879	TNXB_distal_region	2.8890311085352707	3	3
NA18940	WHR1_unique_region	4.144536044287835	4	4
NA18940	TNXB_distal_region	3.8671441559558764	4	4
NA18943	WHR1_unique_region	3.700710467226865	4	4
NA18943	TNXB_distal_region	4.112788013064314	4	4
NA18944	WHR1_unique_region	3.9087389008833027	4	4
NA18944	TNXB_distal_region	4.192312896517696	4	4
NA18945	WHR1_unique_region	4.118043570378863	4	4
NA18945	TNXB_distal_region	4.1778906703672885	4	4
NA18948	WHR1_unique_region	6.365570797249766	6	6
NA18948	TNXB_distal_region	5.918462785742622	6	6
NA18952	WHR1_unique_region	5.983066425013156	6	6
NA18952	TNXB_distal_region	6.062503981295551	6	6
NA18959	WHR1_unique_region	3.0987355180068237	3	3
NA18959	TNXB_distal_region	3.124278151993233	3	3
NA18960	WHR1_unique_region	3.946704694853811	4	4
NA18960	TNXB_distal_region	3.8025665794793055	4	4
NA18967	WHR1_unique_region	2.995629224612903	3	3
NA18967	TNXB_distal_region	2.9911981030470365	3	3
NA18970	WHR1_unique_region	4.307483266411299	4	4
NA18970	TNXB_distal_region	3.9506203239190376	4	4
NA18971	WHR1_unique_region	3.9853191319472843	4	4
NA18971	TNXB_distal_region	4.064899955856364	4	4
NA18974	WHR1_unique_region	6.288425286341464	6	6
NA18974	TNXB_distal_region	5.79599683347191	6	6
NA18976	WHR1_unique_region	4.098741869880758	4	4
NA18976	TNXB_distal_region	4.157221872248155	4	4
NA18982	WHR1_unique_region	4.023432320185941	4	4
NA18982	TNXB_distal_region	4.016739314379504	4	4
NA18983	WHR1_unique_region	4.017503716717143	4	4
NA18983	TNXB_distal_region	4.006418108337597	4	4
NA18990	WHR1_unique_region	3.7813450821325443	4	4
