donor	total	A	B	OTHER	L	S	A_any	B_any	LONG_LEFT	LONG_RIGHT	SHORT	BOUNDARY	NONCANONICAL	A_only	B_only	OTHER_only	AB_ambiguous	LS_ambiguous	all_fragments	LONG_MEAN
NA19007	3	2	1	0	2	1	33	11	25	29	15	349	0	33	11	0	0	0	564058	27.0
NA19036	4	2	2	0	2	2	43	42	35	41	55	504	0	43	42	0	0	0	876134	38.0
NA19043	4	2	2	0	2	2	44	40	36	26	37	414	0	44	40	0	0	0	688100	31.0
NA19066	4	3	1	0	3	1	43	18	42	33	6	357	0	43	18	0	0	0	567030	37.5
NA19079	4	3	1	0	2	2	65	15	34	41	49	469	0	65	15	0	0	0	849482	37.5
NA19087	4	2	2	0	3	1	26	29	41	39	24	352	0	26	29	0	0	0	578009	40.0
NA19088	5	1	4	0	5	0	21	73	62	58	0	462	0	21	73	0	0	0	647393	60.0
NA19159	6	3	3	0	2	4	51	51	33	26	54	552	0	51	51	0	0	0	630244	29.5
NA19185	4	3	1	0	2	2	44	16	39	23	43	436	0	44	16	0	0	0	678902	31.0
NA19338	4	2	2	0	2	2	25	29	29	40	24	346	0	25	29	0	0	0	568841	34.5
NA19391	3	2	1	0	2	1	20	12	28	13	15	330	0	20	12	0	0	0	590848	20.5
NA19443	3	2	1	0	2	1	29	7	33	25	17	301	0	29	7	0	0	0	584544	29.0
NA19468	3	1	2	0	1	2	15	32	20	14	29	320	0	15	32	0	0	0	577783	17.0
NA19682	4	2	2	0	3	1	39	27	36	43	20	410	0	39	27	0	0	0	589916	39.5
NA19700	3	1	1	1	2	1	19	14	28	23	16	340	16	19	14	16	0	0	588997	25.5
NA19776	4	2	2	0	4	0	35	32	56	56	0	390	0	35	32	0	0	0	574582	56.0
NA19835	4	2	2	0	2	2	46	36	31	29	38	502	0	46	36	0	0	0	735139	30.0
NA19909	4	4	0	0	2	2	65	0	27	19	27	387	0	65	0	0	0	0	572644	23.0
NA20282	5	3	2	0	2	3	43	25	28	23	41	426	0	43	25	0	0	0	555397	25.5
NA20346	4	2	2	0	2	2	36	39	38	34	33	409	0	36	39	0	0	0	600978	36.0
NA20503	4	3	1	0	4	0	45	11	68	55	0	381	0	45	11	0	0	0	640318	61.5
NA20752	4	3	1	0	3	1	57	12	46	39	16	363	0	57	12	0	0	0	573583	42.5
NA20762	4	2	2	0	4	0	70	25	97	80	0	587	0	70	25	0	0	0	947627	88.5
NA20799	4	2	2	0	3	1	41	25	51	38	17	357	0	41	25	0	0	0	585708	44.5
NA20805	3	2	1	0	3	0	25	14	49	41	0	339	0	25	14	0	0	0	619166	45.0
NA20806	4	1	3	0	4	0	13	47	65	36	0	393	0	13	47	0	0	0	627620	50.5
NA20809	4	2	2	0	3	1	32	29	43	59	15	404	0	32	29	0	0	0	611901	51.0
NA20827	3	2	1	0	2	1	39	15	34	25	15	384	0	39	15	0	0	0	755216	29.5
NA20850	4	2	2	0	2	2	50	41	40	50	45	534	0	50	41	0	0	0	853743	45.0
NA20870	4	2	2	0	3	1	20	39	42	33	15	345	0	20	39	0	0	0	561549	37.5
NA20905	3	3	0	0	3	0	66	0	66	56	0	441	0	66	0	0	0	0	874134	61.0
NA21093	4	2	2	0	2	2	39	39	40	35	43	485	0	39	39	0	0	0	772376	37.5
NA21102	5	3	2	0	3	2	59	32	46	48	24	550	0	59	32	0	0	0	745181	47.0
NA21106	4	3	1	0	4	0	72	12	79	81	0	642	0	72	12	0	0	0	977125	80.0
NA21110	4	3	1	0	4	0	56	20	77	68	0	558	0	56	20	0	0	0	875806	72.5
NA21144	4	1	3	0	2	2	13	47	31	29	24	345	0	13	47	0	0	0	526511	30.0
