20635501_0.batch|batch|COMPLETED|0:0|00:04:22|1495908K
20635501_1|asian_missing_index_parallel|COMPLETED|0:0|00:02:40|
20635501_1.batch|batch|COMPLETED|0:0|00:02:40|889752K
20635501_2|asian_missing_index_parallel|COMPLETED|0:0|00:04:39|
20635501_2.batch|batch|COMPLETED|0:0|00:04:39|1255564K
20635501_3|asian_missing_index_parallel|COMPLETED|0:0|00:02:57|
20635501_3.batch|batch|COMPLETED|0:0|00:02:57|864608K
20635501_4|asian_missing_index_parallel|COMPLETED|0:0|00:05:30|
20635501_4.batch|batch|COMPLETED|0:0|00:05:30|1507344K
20635501_5|asian_missing_index_parallel|COMPLETED|0:0|00:02:56|
20635501_5.batch|batch|COMPLETED|0:0|00:02:56|1090736K
20635501_6|asian_missing_index_parallel|COMPLETED|0:0|00:04:34|
20635501_6.batch|batch|COMPLETED|0:0|00:04:34|1504996K
20635501_7|asian_missing_index_parallel|COMPLETED|0:0|00:03:03|
20635501_7.batch|batch|COMPLETED|0:0|00:03:03|1120772K
20635501_8|asian_missing_index_parallel|COMPLETED|0:0|00:04:40|
20635501_8.batch|batch|COMPLETED|0:0|00:04:40|1509120K
20635501_9|asian_missing_index_parallel|COMPLETED|0:0|00:03:11|
20635501_9.batch|batch|COMPLETED|0:0|00:03:11|1111384K
20635511_0|asian_missing_genotype|COMPLETED|0:0|00:01:49|
20635511_0.batch|batch|COMPLETED|0:0|00:01:49|799460K
20635511_1|asian_missing_genotype|COMPLETED|0:0|00:01:41|
20635511_1.batch|batch|COMPLETED|0:0|00:01:41|1059956K
20635511_2|asian_missing_genotype|COMPLETED|0:0|00:01:48|
20635511_2.batch|batch|COMPLETED|0:0|00:01:48|643860K
20635511_3|asian_missing_genotype|COMPLETED|0:0|00:01:55|
20635511_3.batch|batch|COMPLETED|0:0|00:01:55|667272K
20635511_4|asian_missing_genotype|COMPLETED|0:0|00:01:52|
20635511_4.batch|batch|COMPLETED|0:0|00:01:52|839692K
20635511_5|asian_missing_genotype|COMPLETED|0:0|00:02:02|
20635511_5.batch|batch|COMPLETED|0:0|00:02:02|866092K
20635511_6|asian_missing_genotype|COMPLETED|0:0|00:01:51|
20635511_6.batch|batch|COMPLETED|0:0|00:01:51|875364K
20635511_7|asian_missing_genotype|COMPLETED|0:0|00:01:38|
20635511_7.batch|batch|COMPLETED|0:0|00:01:38|609556K
20635511_8|asian_missing_genotype|COMPLETED|0:0|00:01:39|
20635511_8.batch|batch|COMPLETED|0:0|00:01:39|1358348K
20635511_9|asian_missing_genotype|COMPLETED|0:0|00:01:55|
20635511_9.batch|batch|COMPLETED|0:0|00:01:55|607288K
20635511_10|asian_missing_genotype|COMPLETED|0:0|00:01:43|
20635511_10.batch|batch|COMPLETED|0:0|00:01:43|855172K
20635511_11|asian_missing_genotype|COMPLETED|0:0|00:01:37|
20635511_11.batch|batch|COMPLETED|0:0|00:01:37|619492K
20635511_12|asian_missing_genotype|COMPLETED|0:0|00:01:45|
20635511_12.batch|batch|COMPLETED|0:0|00:01:45|610568K
20635511_13|asian_missing_genotype|COMPLETED|0:0|00:02:12|
20635511_13.batch|batch|COMPLETED|0:0|00:02:12|656096K
20635511_14|asian_missing_genotype|COMPLETED|0:0|00:01:50|
20635511_14.batch|batch|COMPLETED|0:0|00:01:50|986752K
20635511_15|asian_missing_genotype|COMPLETED|0:0|00:01:44|
20635511_15.batch|batch|COMPLETED|0:0|00:01:44|757204K
20635511_16|asian_missing_genotype|COMPLETED|0:0|00:01:54|
20635511_16.batch|batch|COMPLETED|0:0|00:01:54|1357748K
