run_accession	sample_accession	sample_alias	instrument_platform	library_strategy	library_source	library_layout	fastq_ftp
SRR29399640	SAMN41227870	APR003	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/040/SRR29399640/SRR29399640_1.fastq.gz
SRR29399650	SAMN41227973	pbAPR-S	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/050/SRR29399650/SRR29399650_subreads.fastq.gz
SRR29399652	SAMN41227971	pbAPR-F	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/052/SRR29399652/SRR29399652_subreads.fastq.gz
SRR29399653	SAMN41227878	APR011	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/053/SRR29399653/SRR29399653_1.fastq.gz
SRR29399659	SAMN41227874	APR007	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/059/SRR29399659/SRR29399659_1.fastq.gz
SRR29411011	SAMN41832368	pbAPR-M	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/011/SRR29411011/SRR29411011_subreads.fastq.gz
SRR29411017	SAMN41832364	APR-F	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/017/SRR29411017/SRR29411017_1.fastq.gz
SRR29411040	SAMN41832342	APR023	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/040/SRR29411040/SRR29411040_1.fastq.gz
SRR29411042	SAMN41832339	APR020	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/042/SRR29411042/SRR29411042_1.fastq.gz
SRR29411043	SAMN41832338	APR019	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/043/SRR29411043/SRR29411043_1.fastq.gz
SRR29411044	SAMN41832340	APR021	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/044/SRR29411044/SRR29411044_1.fastq.gz
SRR29411046	SAMN41832343	APR024	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/046/SRR29411046/SRR29411046_1.fastq.gz
SRR30296543	SAMN41227968	pbAPR050	ILLUMINA	WGS	GENOMIC	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/043/SRR30296543/SRR30296543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/043/SRR30296543/SRR30296543_2.fastq.gz
SRR30344988	SAMN43302892	APR032	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR303/088/SRR30344988/SRR30344988_1.fastq.gz
SRR30344989	SAMN43302891	APR031	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR303/089/SRR30344989/SRR30344989_1.fastq.gz
SRR29147635	SAMN41227967	pbAPR049	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/035/SRR29147635/SRR29147635_subreads.fastq.gz
SRR29147651	SAMN41227951	pbAPR033	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/051/SRR29147651/SRR29147651_subreads.fastq.gz
SRR29147654	SAMN41227948	pbAPR030	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/054/SRR29147654/SRR29147654_subreads.fastq.gz
SRR29147655	SAMN41227947	pbAPR029	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/055/SRR29147655/SRR29147655_subreads.fastq.gz
SRR29147657	SAMN41227945	pbAPR026	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/057/SRR29147657/SRR29147657_subreads.fastq.gz
SRR29147669	SAMN41227933	pbAPR013	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/069/SRR29147669/SRR29147669_subreads.fastq.gz
SRR29147681	SAMN41227921	pbAPR001	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/081/SRR29147681/SRR29147681_subreads.fastq.gz
SRR29147683	SAMN41227918	APR-F	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/083/SRR29147683/SRR29147683_1.fastq.gz
SRR29147693	SAMN41227970	pbAPR052	PACBIO_SMRT	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/093/SRR29147693/SRR29147693_subreads.fastq.gz
SRR29399614	SAMN41227903	APR038	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/014/SRR29399614/SRR29399614_1.fastq.gz
SRR29399620	SAMN41227891	APR025	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/020/SRR29399620/SRR29399620_1.fastq.gz
SRR29399626	SAMN41227915	APR050	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/026/SRR29399626/SRR29399626_1.fastq.gz
SRR29399638	SAMN41227904	APR039	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/038/SRR29399638/SRR29399638_1.fastq.gz
SRR29399644	SAMN41227884	APR018	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/044/SRR29399644/SRR29399644_1.fastq.gz
SRR29399654	SAMN41227869	APR002	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/054/SRR29399654/SRR29399654_1.fastq.gz
SRR29399658	SAMN41227875	APR008	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/058/SRR29399658/SRR29399658_1.fastq.gz
SRR29411008	SAMN41832329	APR009	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/008/SRR29411008/SRR29411008_1.fastq.gz
SRR29411016	SAMN41832327	APR007	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/016/SRR29411016/SRR29411016_1.fastq.gz
SRR29411019	SAMN41832361	APR050	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/019/SRR29411019/SRR29411019_1.fastq.gz
SRR29411026	SAMN41832362	APR051	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/026/SRR29411026/SRR29411026_1.fastq.gz
SRR29411027	SAMN41832355	APR044	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/027/SRR29411027/SRR29411027_1.fastq.gz
SRR29411030	SAMN41832352	APR041	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/030/SRR29411030/SRR29411030_1.fastq.gz
SRR29411031	SAMN41832351	APR040	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/031/SRR29411031/SRR29411031_1.fastq.gz
SRR29411033	SAMN41832350	APR039	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/033/SRR29411033/SRR29411033_1.fastq.gz
SRR29411034	SAMN41832349	APR038	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/034/SRR29411034/SRR29411034_1.fastq.gz
SRR29411047	SAMN41832337	APR018	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/047/SRR29411047/SRR29411047_1.fastq.gz
SRR29411048	SAMN41832336	APR016	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/048/SRR29411048/SRR29411048_1.fastq.gz
SRR29411050	SAMN41832332	APR012	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/050/SRR29411050/SRR29411050_1.fastq.gz
SRR29411053	SAMN41832335	APR015	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/053/SRR29411053/SRR29411053_1.fastq.gz
SRR30296435	SAMN41227949	pbAPR031	ILLUMINA	Hi-C	GENOMIC	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/035/SRR30296435/SRR30296435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/035/SRR30296435/SRR30296435_2.fastq.gz
SRR30296533	SAMN41227967	pbAPR049	ILLUMINA	WGS	GENOMIC	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/033/SRR30296533/SRR30296533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/033/SRR30296533/SRR30296533_2.fastq.gz
SRR30296534	SAMN41227966	pbAPR048	ILLUMINA	WGS	GENOMIC	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/034/SRR30296534/SRR30296534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/034/SRR30296534/SRR30296534_2.fastq.gz
SRR30296537	SAMN41227963	pbAPR045	ILLUMINA	WGS	GENOMIC	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/037/SRR30296537/SRR30296537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/037/SRR30296537/SRR30296537_2.fastq.gz
SRR30344990	SAMN43302893	APR033	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR303/090/SRR30344990/SRR30344990_1.fastq.gz
SRR30344992	SAMN43302890	APR030	OXFORD_NANOPORE	WGS	GENOMIC	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR303/092/SRR30344992/SRR30344992_1.fastq.gz
