donor	stratum	family	method	gene	fields	state	eligible	called	correct	allele_matches
HG00658	EAS	HG00656	T1K	A	2	complete	1	1	1	2
HG00658	EAS	HG00656	T1K	A	4	complete	1	1	1	2
HG00658	EAS	HG00656	T1K	B	2	complete	1	1	1	2
HG00658	EAS	HG00656	T1K	B	4	complete	1	1	0	1
HG00658	EAS	HG00656	T1K	C	2	complete	1	1	1	2
HG00658	EAS	HG00656	T1K	C	4	complete	1	1	0	1
HG00658	EAS	HG00656	T1K	DPA1	2	complete	1	1	1	2
HG00658	EAS	HG00656	T1K	DPA1	4	complete	0	0	0	0
HG00658	EAS	HG00656	T1K	DPB1	2	complete	1	1	1	2
HG00658	EAS	HG00656	T1K	DPB1	4	complete	0	0	0	0
HG00658	EAS	HG00656	T1K	DQA1	2	complete	1	1	1	2
HG00658	EAS	HG00656	T1K	DQA1	4	complete	1	1	0	1
HG00658	EAS	HG00656	T1K	DQB1	2	complete	1	1	1	2
HG00658	EAS	HG00656	T1K	DQB1	4	complete	1	1	1	2
HG00658	EAS	HG00656	T1K	DRB1	2	complete	1	1	1	2
HG00658	EAS	HG00656	T1K	DRB1	4	complete	0	0	0	0
HG00658	EAS	HG00656	ipd_genome	A	2	complete	1	1	1	2
HG00658	EAS	HG00656	ipd_genome	A	4	complete	1	1	1	2
HG00658	EAS	HG00656	ipd_genome	B	2	complete	1	1	1	2
HG00658	EAS	HG00656	ipd_genome	B	4	complete	1	1	1	2
HG00658	EAS	HG00656	ipd_genome	C	2	complete	1	1	1	2
HG00658	EAS	HG00656	ipd_genome	C	4	complete	1	1	1	2
HG00658	EAS	HG00656	ipd_genome	DPA1	2	complete	1	1	1	2
HG00658	EAS	HG00656	ipd_genome	DPA1	4	complete	0	0	0	0
HG00658	EAS	HG00656	ipd_genome	DPB1	2	complete	1	1	1	2
HG00658	EAS	HG00656	ipd_genome	DPB1	4	complete	0	0	0	0
HG00658	EAS	HG00656	ipd_genome	DQA1	2	complete	1	1	1	2
HG00658	EAS	HG00656	ipd_genome	DQA1	4	complete	1	1	1	2
HG00658	EAS	HG00656	ipd_genome	DQB1	2	complete	1	1	1	2
HG00658	EAS	HG00656	ipd_genome	DQB1	4	complete	1	1	1	2
HG00658	EAS	HG00656	ipd_genome	DRB1	2	complete	1	1	1	2
HG00658	EAS	HG00656	ipd_genome	DRB1	4	complete	0	0	0	0
HG02132	EAS	HG02132	T1K	A	2	complete	1	1	1	2
HG02132	EAS	HG02132	T1K	A	4	complete	1	1	1	2
HG02132	EAS	HG02132	T1K	B	2	complete	1	1	1	2
HG02132	EAS	HG02132	T1K	B	4	complete	1	1	0	1
HG02132	EAS	HG02132	T1K	C	2	complete	1	1	1	2
HG02132	EAS	HG02132	T1K	C	4	complete	1	1	0	1
HG02132	EAS	HG02132	T1K	DPA1	2	complete	1	1	1	2
HG02132	EAS	HG02132	T1K	DPA1	4	complete	0	0	0	0
HG02132	EAS	HG02132	T1K	DPB1	2	complete	1	1	1	2
HG02132	EAS	HG02132	T1K	DPB1	4	complete	1	1	0	0
HG02132	EAS	HG02132	T1K	DQA1	2	complete	1	1	1	2
HG02132	EAS	HG02132	T1K	DQA1	4	complete	1	1	0	1
HG02132	EAS	HG02132	T1K	DQB1	2	complete	1	1	1	2
HG02132	EAS	HG02132	T1K	DQB1	4	complete	1	1	0	0
HG02132	EAS	HG02132	T1K	DRB1	2	complete	1	1	1	2
HG02132	EAS	HG02132	T1K	DRB1	4	complete	0	0	0	0
HG02132	EAS	HG02132	ipd_genome	A	2	complete	1	1	1	2
HG02132	EAS	HG02132	ipd_genome	A	4	complete	1	1	1	2
HG02132	EAS	HG02132	ipd_genome	B	2	complete	1	1	1	2
HG02132	EAS	HG02132	ipd_genome	B	4	complete	1	1	0	1
HG02132	EAS	HG02132	ipd_genome	C	2	complete	1	1	1	2
HG02132	EAS	HG02132	ipd_genome	C	4	complete	1	1	1	2
HG02132	EAS	HG02132	ipd_genome	DPA1	2	complete	1	1	1	2
HG02132	EAS	HG02132	ipd_genome	DPA1	4	complete	0	0	0	0
HG02132	EAS	HG02132	ipd_genome	DPB1	2	complete	1	1	1	2
HG02132	EAS	HG02132	ipd_genome	DPB1	4	complete	1	1	1	2
HG02132	EAS	HG02132	ipd_genome	DQA1	2	complete	1	1	1	2
HG02132	EAS	HG02132	ipd_genome	DQA1	4	complete	1	1	1	2
HG02132	EAS	HG02132	ipd_genome	DQB1	2	complete	1	1	1	2
HG02132	EAS	HG02132	ipd_genome	DQB1	4	complete	1	1	1	2
HG02132	EAS	HG02132	ipd_genome	DRB1	2	complete	1	1	1	2
HG02132	EAS	HG02132	ipd_genome	DRB1	4	complete	0	0	0	0
HG03831	SAS	HG03829	T1K	A	2	complete	1	1	1	2
HG03831	SAS	HG03829	T1K	A	4	complete	1	1	1	2
HG03831	SAS	HG03829	T1K	B	2	complete	1	1	1	2
HG03831	SAS	HG03829	T1K	B	4	complete	1	1	0	1
HG03831	SAS	HG03829	T1K	C	2	complete	1	1	1	2
HG03831	SAS	HG03829	T1K	C	4	complete	1	1	0	1
HG03831	SAS	HG03829	T1K	DPA1	2	complete	1	1	1	2
HG03831	SAS	HG03829	T1K	DPA1	4	complete	0	0	0	0
HG03831	SAS	HG03829	T1K	DPB1	2	complete	1	1	1	2
HG03831	SAS	HG03829	T1K	DPB1	4	complete	1	1	0	1
HG03831	SAS	HG03829	T1K	DQA1	2	complete	1	1	1	2
HG03831	SAS	HG03829	T1K	DQA1	4	complete	1	1	0	1
HG03831	SAS	HG03829	T1K	DQB1	2	complete	1	1	1	2
HG03831	SAS	HG03829	T1K	DQB1	4	complete	1	1	1	2
HG03831	SAS	HG03829	T1K	DRB1	2	complete	1	1	1	2
HG03831	SAS	HG03829	T1K	DRB1	4	complete	0	0	0	0
HG03831	SAS	HG03829	ipd_genome	A	2	complete	1	1	1	2
HG03831	SAS	HG03829	ipd_genome	A	4	complete	1	1	1	2
HG03831	SAS	HG03829	ipd_genome	B	2	complete	1	1	1	2
HG03831	SAS	HG03829	ipd_genome	B	4	complete	1	1	1	2
HG03831	SAS	HG03829	ipd_genome	C	2	complete	1	1	1	2
HG03831	SAS	HG03829	ipd_genome	C	4	complete	1	1	1	2
HG03831	SAS	HG03829	ipd_genome	DPA1	2	complete	1	1	1	2
HG03831	SAS	HG03829	ipd_genome	DPA1	4	complete	0	0	0	0
