donor	condition	gene	eligible	native_correct	refined_correct	changed	reason	score_gain_over_native	score_gap	informative_fragments
HG02132	hprc_asian/sampled	DRB1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc_asian/unsampled	A	1	1	1	0	Graph agrees with native pair	0.0		2021
HG02132	hprc_asian/unsampled	B	1	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc_asian/unsampled	C	1	1	1	0	Graph agrees with native pair	0.0		1229
HG02132	hprc_asian/unsampled	DPA1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG02132	hprc_asian/unsampled	DPB1	1	1	1	0	Graph agrees with native pair	0.0		1907
HG02132	hprc_asian/unsampled	DQA1	1	1	1	0	Graph genotype is tied	113.328015620099		2481
HG02132	hprc_asian/unsampled	DQB1	1	1	1	0	Best graph pair includes an unlabelled path	2000.086327812387		3294
HG02132	hprc_asian/unsampled	DRB1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG03831	hprc/sampled	A	1	1	1	0	Best graph pair includes an unlabelled path	1285.8649234800087		2877
HG03831	hprc/sampled	B	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
HG03831	hprc/sampled	C	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
HG03831	hprc/sampled	DPA1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG03831	hprc/sampled	DPB1	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
HG03831	hprc/sampled	DQA1	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
HG03831	hprc/sampled	DQB1	1	1	1	0	Best graph pair includes an unlabelled path	7168.293500552435		3263
HG03831	hprc/sampled	DRB1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG03831	hprc/unsampled	A	1	1	1	0	Best graph pair includes an unlabelled path	268.14162421591254		1818
HG03831	hprc/unsampled	B	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
HG03831	hprc/unsampled	C	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
HG03831	hprc/unsampled	DPA1	0	0	0	0	Native allele absent from observed graph; retain IPD fallback			
HG03831	hprc/unsampled	DPB1	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
HG03831	hprc/unsampled	DQA1	1	1	1	0	Native allele absent from observed graph; retain IPD fallback			
