donor	method	state	error
NA18570	hprc:DogoHLA-no-graph	complete	NONE
NA18570	asian_matched:DogoHLA	complete	NONE
NA18570	asian_matched:DogoHLA-no-graph	complete	NONE
NA18940	SpecHLA-IPD365-noFreq	complete	NONE
NA18940	SpecHLA-IPD365-long-noFreq	complete	NONE
NA18940	T1K-four-field	complete	NONE
NA18940	full:DogoHLA	complete	NONE
NA18940	full:DogoHLA-no-graph	complete	NONE
NA18940	hprc:DogoHLA	complete	NONE
NA18940	hprc:DogoHLA-no-graph	complete	NONE
NA18940	asian_matched:DogoHLA	complete	NONE
NA18940	asian_matched:DogoHLA-no-graph	complete	NONE
NA21144	SpecHLA-IPD365-noFreq	complete	NONE
NA21144	SpecHLA-IPD365-long-noFreq	complete	NONE
NA21144	T1K-four-field	complete	NONE
NA21144	full:DogoHLA	complete	NONE
NA21144	full:DogoHLA-no-graph	complete	NONE
NA21144	hprc:DogoHLA	complete	NONE
NA21144	hprc:DogoHLA-no-graph	complete	NONE
NA21144	asian_matched:DogoHLA	complete	NONE
NA21144	asian_matched:DogoHLA-no-graph	complete	NONE
HG00558	SpecHLA-IPD365-noFreq	complete	NONE
HG00558	SpecHLA-IPD365-long-noFreq	complete	NONE
HG00558	T1K-four-field	complete	NONE
HG00558	full:DogoHLA	complete	NONE
HG00558	full:DogoHLA-no-graph	complete	NONE
HG00558	hprc:DogoHLA	complete	NONE
HG00558	hprc:DogoHLA-no-graph	complete	NONE
HG00558	asian_matched:DogoHLA	complete	NONE
HG00558	asian_matched:DogoHLA-no-graph	complete	NONE
HG02165	SpecHLA-IPD365-noFreq	complete	NONE
HG02165	SpecHLA-IPD365-long-noFreq	complete	NONE
HG02165	T1K-four-field	complete	NONE
HG02165	full:DogoHLA	complete	NONE
HG02165	full:DogoHLA-no-graph	complete	NONE
HG02165	hprc:DogoHLA	complete	NONE
HG02165	hprc:DogoHLA-no-graph	complete	NONE
HG02165	asian_matched:DogoHLA	complete	NONE
HG02165	asian_matched:DogoHLA-no-graph	complete	NONE
HG02523	SpecHLA-IPD365-noFreq	complete	NONE
HG02523	SpecHLA-IPD365-long-noFreq	complete	NONE
HG02523	T1K-four-field	complete	NONE
HG02523	full:DogoHLA	complete	NONE
HG02523	full:DogoHLA-no-graph	complete	NONE
HG02523	hprc:DogoHLA	complete	NONE
HG02523	hprc:DogoHLA-no-graph	complete	NONE
HG02523	asian_matched:DogoHLA	complete	NONE
HG02523	asian_matched:DogoHLA-no-graph	complete	NONE
HG02738	SpecHLA-IPD365-noFreq	complete	NONE
HG02738	SpecHLA-IPD365-long-noFreq	complete	NONE
HG02738	T1K-four-field	complete	NONE
HG02738	full:DogoHLA	complete	NONE
HG02738	full:DogoHLA-no-graph	complete	NONE
HG02738	hprc:DogoHLA	complete	NONE
HG02738	hprc:DogoHLA-no-graph	complete	NONE
HG02738	asian_matched:DogoHLA	complete	NONE
HG02738	asian_matched:DogoHLA-no-graph	complete	NONE
HG03688	SpecHLA-IPD365-noFreq	complete	NONE
HG03688	SpecHLA-IPD365-long-noFreq	complete	NONE
HG03688	T1K-four-field	complete	NONE
HG03688	full:DogoHLA	complete	NONE
HG03688	full:DogoHLA-no-graph	complete	NONE
HG03688	hprc:DogoHLA	complete	NONE
HG03688	hprc:DogoHLA-no-graph	complete	NONE
HG03688	asian_matched:DogoHLA	complete	NONE
HG03688	asian_matched:DogoHLA-no-graph	complete	NONE
HG03927	SpecHLA-IPD365-noFreq	complete	NONE
HG03927	SpecHLA-IPD365-long-noFreq	complete	NONE
HG03927	T1K-four-field	complete	NONE
HG03927	full:DogoHLA	complete	NONE
HG03927	full:DogoHLA-no-graph	complete	NONE
HG03927	hprc:DogoHLA	complete	NONE
HG03927	hprc:DogoHLA-no-graph	complete	NONE
HG03927	asian_matched:DogoHLA	complete	NONE
HG03927	asian_matched:DogoHLA-no-graph	complete	NONE
NA18952	SpecHLA-IPD365-noFreq	complete	NONE
NA18952	SpecHLA-IPD365-long-noFreq	complete	NONE
NA18952	T1K-four-field	complete	NONE
NA18952	full:DogoHLA	complete	NONE
NA18952	full:DogoHLA-no-graph	complete	NONE
NA18952	hprc:DogoHLA	complete	NONE
NA18952	hprc:DogoHLA-no-graph	complete	NONE
NA18952	asian_matched:DogoHLA	complete	NONE
NA18952	asian_matched:DogoHLA-no-graph	complete	NONE
NA21106	SpecHLA-IPD365-noFreq	complete	NONE
NA21106	SpecHLA-IPD365-long-noFreq	complete	NONE
NA21106	T1K-four-field	complete	NONE
NA21106	full:DogoHLA	complete	NONE
NA21106	full:DogoHLA-no-graph	complete	NONE
NA21106	hprc:DogoHLA	complete	NONE
NA21106	hprc:DogoHLA-no-graph	complete	NONE
NA21106	asian_matched:DogoHLA	complete	NONE
NA21106	asian_matched:DogoHLA-no-graph	complete	NONE
HG00609	SpecHLA-IPD365-noFreq	complete	NONE
HG00609	SpecHLA-IPD365-long-noFreq	complete	NONE
HG00609	T1K-four-field	complete	NONE
HG00609	full:DogoHLA	complete	NONE
HG00609	full:DogoHLA-no-graph	complete	NONE
HG00609	hprc:DogoHLA	complete	NONE
HG00609	hprc:DogoHLA-no-graph	complete	NONE
HG00609	asian_matched:DogoHLA	complete	NONE
HG00609	asian_matched:DogoHLA-no-graph	complete	NONE
HG02074	SpecHLA-IPD365-noFreq	complete	NONE
HG02074	SpecHLA-IPD365-long-noFreq	complete	NONE
HG02074	T1K-four-field	complete	NONE
HG02074	full:DogoHLA	complete	NONE
HG02074	full:DogoHLA-no-graph	complete	NONE
HG02074	hprc:DogoHLA	complete	NONE
HG02074	hprc:DogoHLA-no-graph	complete	NONE
HG02074	asian_matched:DogoHLA	complete	NONE
HG02074	asian_matched:DogoHLA-no-graph	complete	NONE
HG03017	SpecHLA-IPD365-noFreq	complete	NONE
HG03017	SpecHLA-IPD365-long-noFreq	complete	NONE
HG03017	T1K-four-field	complete	NONE
HG03017	full:DogoHLA	complete	NONE
HG03017	full:DogoHLA-no-graph	complete	NONE
HG03017	hprc:DogoHLA	complete	NONE
HG03017	hprc:DogoHLA-no-graph	complete	NONE
HG03017	asian_matched:DogoHLA	complete	NONE
HG03017	asian_matched:DogoHLA-no-graph	complete	NONE
HG03784	SpecHLA-IPD365-noFreq	complete	NONE
HG03784	SpecHLA-IPD365-long-noFreq	complete	NONE
HG03784	T1K-four-field	complete	NONE
HG03784	full:DogoHLA	complete	NONE
HG03784	full:DogoHLA-no-graph	complete	NONE
HG03784	hprc:DogoHLA	complete	NONE
HG03784	hprc:DogoHLA-no-graph	complete	NONE
HG03784	asian_matched:DogoHLA	complete	NONE
HG03784	asian_matched:DogoHLA-no-graph	complete	NONE
HG04157	SpecHLA-IPD365-noFreq	complete	NONE
HG04157	SpecHLA-IPD365-long-noFreq	complete	NONE
HG04157	T1K-four-field	complete	NONE
HG04157	full:DogoHLA	complete	NONE
HG04157	full:DogoHLA-no-graph	complete	NONE
HG04157	hprc:DogoHLA	complete	NONE
HG04157	hprc:DogoHLA-no-graph	complete	NONE
HG04157	asian_matched:DogoHLA	complete	NONE
HG04157	asian_matched:DogoHLA-no-graph	complete	NONE
HG04204	SpecHLA-IPD365-noFreq	complete	NONE
HG04204	SpecHLA-IPD365-long-noFreq	complete	NONE
HG04204	T1K-four-field	complete	NONE
HG04204	full:DogoHLA	complete	NONE
HG04204	full:DogoHLA-no-graph	complete	NONE
HG04204	hprc:DogoHLA	complete	NONE
HG04204	hprc:DogoHLA-no-graph	complete	NONE
HG04204	asian_matched:DogoHLA	complete	NONE
HG04204	asian_matched:DogoHLA-no-graph	complete	NONE
NA18747	SpecHLA-IPD365-noFreq	complete	NONE
NA18747	SpecHLA-IPD365-long-noFreq	complete	NONE
NA18747	T1K-four-field	complete	NONE
NA18747	full:DogoHLA	complete	NONE
NA18747	full:DogoHLA-no-graph	complete	NONE
NA18747	hprc:DogoHLA	complete	NONE
NA18747	hprc:DogoHLA-no-graph	complete	NONE
NA18747	asian_matched:DogoHLA	complete	NONE
NA18747	asian_matched:DogoHLA-no-graph	complete	NONE
NA19088	SpecHLA-IPD365-noFreq	complete	NONE
NA19088	SpecHLA-IPD365-long-noFreq	complete	NONE
NA19088	T1K-four-field	complete	NONE
NA19088	full:DogoHLA	complete	NONE
NA19088	full:DogoHLA-no-graph	complete	NONE
NA19088	hprc:DogoHLA	complete	NONE
NA19088	hprc:DogoHLA-no-graph	complete	NONE
NA19088	asian_matched:DogoHLA	complete	NONE
NA19088	asian_matched:DogoHLA-no-graph	complete	NONE
HG01530	SpecHLA-IPD365-noFreq	complete	NONE
HG01530	SpecHLA-IPD365-long-noFreq	complete	NONE
HG01530	T1K-four-field	complete	NONE
HG01530	full:DogoHLA	complete	NONE
HG01530	full:DogoHLA-no-graph	complete	NONE
HG01530	hprc:DogoHLA	complete	NONE
HG01530	hprc:DogoHLA-no-graph	complete	NONE
HG01530	asian_matched:DogoHLA	complete	NONE
HG01530	asian_matched:DogoHLA-no-graph	complete	NONE
NA20806	SpecHLA-IPD365-noFreq	complete	NONE
NA20806	SpecHLA-IPD365-long-noFreq	complete	NONE
NA20806	T1K-four-field	complete	NONE
NA20806	full:DogoHLA	complete	NONE
