donor	method	state	error
NA19909	asian_matched:DogoHLA-no-graph	complete	NONE
NA19338	SpecHLA-IPD365-noFreq	complete	NONE
NA19338	SpecHLA-IPD365-long-noFreq	complete	NONE
NA19338	T1K-four-field	complete	NONE
NA19338	full:DogoHLA	complete	NONE
NA19338	full:DogoHLA-no-graph	complete	NONE
NA19338	hprc:DogoHLA	complete	NONE
NA19338	hprc:DogoHLA-no-graph	complete	NONE
NA19338	asian_matched:DogoHLA	complete	NONE
NA19338	asian_matched:DogoHLA-no-graph	complete	NONE
HG03209	SpecHLA-IPD365-noFreq	complete	NONE
HG03209	SpecHLA-IPD365-long-noFreq	complete	NONE
HG03209	T1K-four-field	complete	NONE
HG03209	full:DogoHLA	complete	NONE
HG03209	full:DogoHLA-no-graph	complete	NONE
HG03209	hprc:DogoHLA	complete	NONE
HG03209	hprc:DogoHLA-no-graph	complete	NONE
HG03209	asian_matched:DogoHLA	complete	NONE
HG03209	asian_matched:DogoHLA-no-graph	complete	NONE
HG02976	SpecHLA-IPD365-noFreq	complete	NONE
HG02976	SpecHLA-IPD365-long-noFreq	complete	NONE
HG02976	T1K-four-field	complete	NONE
HG02976	full:DogoHLA	complete	NONE
HG02976	full:DogoHLA-no-graph	complete	NONE
HG02976	hprc:DogoHLA	complete	NONE
HG02976	hprc:DogoHLA-no-graph	complete	NONE
HG02976	asian_matched:DogoHLA	complete	NONE
HG02976	asian_matched:DogoHLA-no-graph	complete	NONE
NA18879	SpecHLA-IPD365-noFreq	complete	NONE
NA18879	SpecHLA-IPD365-long-noFreq	complete	NONE
NA18879	T1K-four-field	complete	NONE
NA18879	full:DogoHLA	complete	NONE
NA18879	full:DogoHLA-no-graph	complete	NONE
NA18879	hprc:DogoHLA	complete	NONE
NA18879	hprc:DogoHLA-no-graph	complete	NONE
NA18879	asian_matched:DogoHLA	complete	NONE
NA18879	asian_matched:DogoHLA-no-graph	complete	NONE
