donor	ancestry	population	family	gourraud_overlap	matched64	eligibility	cram
HG01879	AFR	ACB	BB01	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242292/HG01879.final.cram
HG01880	AFR	ACB	BB01	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242293/HG01880.final.cram
HG01882	AFR	ACB	BB02	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242189/HG01882.final.cram
HG01883	AFR	ACB	BB02	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242190/HG01883.final.cram
HG01886	AFR	ACB	BB04	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242194/HG01886.final.cram
HG01894	AFR	ACB	BB06	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242235/HG01894.final.cram
HG01896	AFR	ACB	BB07	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242295/HG01896.final.cram
HG01912	AFR	ACB	BB06	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242234/HG01912.final.cram
HG01914	AFR	ACB	BB09	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242218/HG01914.final.cram
HG01915	AFR	ACB	BB09	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242219/HG01915.final.cram
HG01958	AFR	ACB	BB10	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242221/HG01958.final.cram
HG01985	AFR	ACB	BB08	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242296/HG01985.final.cram
HG01986	AFR	ACB	BB10	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242220/HG01986.final.cram
HG01990	AFR	ACB	BB12	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242222/HG01990.final.cram
HG02009	AFR	ACB	BB13	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242197/HG02009.final.cram
HG02010	AFR	ACB	BB13	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242198/HG02010.final.cram
HG02012	AFR	ACB	BB12	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242223/HG02012.final.cram
HG02013	AFR	ACB	BB07	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242294/HG02013.final.cram
HG02014	AFR	ACB	BB04	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242193/HG02014.final.cram
HG02051	AFR	ACB	BB14	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242299/HG02051.final.cram
HG02052	AFR	ACB	BB14	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242300/HG02052.final.cram
HG02095	AFR	ACB	BB16	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242301/HG02095.final.cram
HG02107	AFR	ACB	BB18	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242303/HG02107.final.cram
HG02108	AFR	ACB	BB18	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242304/HG02108.final.cram
HG02111	AFR	ACB	BB19	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242305/HG02111.final.cram
HG02281	AFR	ACB	BB24	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242230/HG02281.final.cram
HG02282	AFR	ACB	BB24	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242231/HG02282.final.cram
HG02283	AFR	ACB	BB25	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242310/HG02283.final.cram
HG02284	AFR	ACB	BB26	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242312/HG02284.final.cram
HG02309	AFR	ACB	BB25	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242311/HG02309.final.cram
HG02317	AFR	ACB	BB27	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242232/HG02317.final.cram
HG02318	AFR	ACB	BB27	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242233/HG02318.final.cram
HG02322	AFR	ACB	BB28	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242313/HG02322.final.cram
HG02323	AFR	ACB	BB29	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242314/HG02323.final.cram
HG02325	AFR	ACB	BB30	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242315/HG02325.final.cram
HG02330	AFR	ACB	BB33	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242318/HG02330.final.cram
HG02332	AFR	ACB	BB16	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242302/HG02332.final.cram
HG02334	AFR	ACB	BB32	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242317/HG02334.final.cram
HG02337	AFR	ACB	BB31	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242316/HG02337.final.cram
HG02339	AFR	ACB	BB34	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242319/HG02339.final.cram
HG02343	AFR	ACB	BB35	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242320/HG02343.final.cram
HG02419	AFR	ACB	BB36	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242321/HG02419.final.cram
HG02420	AFR	ACB	BB37	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242322/HG02420.final.cram
HG02427	AFR	ACB	BB37	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242323/HG02427.final.cram
HG02429	AFR	ACB	BB39	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242324/HG02429.final.cram
HG02433	AFR	ACB	BB41	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242325/HG02433.final.cram
HG02439	AFR	ACB	BB42	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242731/HG02439.final.cram
HG02442	AFR	ACB	BB43	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242326/HG02442.final.cram
HG02445	AFR	ACB	BB44	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242327/HG02445.final.cram
HG02455	AFR	ACB	BB48	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242732/HG02455.final.cram
HG02470	AFR	ACB	BB49	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242331/HG02470.final.cram
HG02471	AFR	ACB	BB49	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242332/HG02471.final.cram
HG02476	AFR	ACB	BB51	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242733/HG02476.final.cram
HG02477	AFR	ACB	BB52	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242734/HG02477.final.cram
HG02479	AFR	ACB	BB53	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242333/HG02479.final.cram
HG02481	AFR	ACB	BB54	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242735/HG02481.final.cram
HG02484	AFR	ACB	BB55	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242334/HG02484.final.cram
HG02485	AFR	ACB	BB55	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242335/HG02485.final.cram
HG02489	AFR	ACB	BB45	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242328/HG02489.final.cram
HG02496	AFR	ACB	BB57	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242337/HG02496.final.cram
HG02497	AFR	ACB	BB57	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242338/HG02497.final.cram
HG02501	AFR	ACB	BB58	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242736/HG02501.final.cram
HG02502	AFR	ACB	BB58	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242737/HG02502.final.cram
HG02505	AFR	ACB	BB59	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242738/HG02505.final.cram
HG02508	AFR	ACB	BB60	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242339/HG02508.final.cram
HG02511	AFR	ACB	BB56	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242336/HG02511.final.cram
HG02536	AFR	ACB	BB61	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242739/HG02536.final.cram
HG02537	AFR	ACB	BB61	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242340/HG02537.final.cram
HG02541	AFR	ACB	BB63	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242740/HG02541.final.cram
HG02545	AFR	ACB	BB64	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242741/HG02545.final.cram
HG02546	AFR	ACB	BB64	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242742/HG02546.final.cram
HG02549	AFR	ACB	BB65	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242743/HG02549.final.cram
HG02554	AFR	ACB	BB67	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242744/HG02554.final.cram
HG02555	AFR	ACB	BB67	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242745/HG02555.final.cram
HG02557	AFR	ACB	BB68	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242746/HG02557.final.cram
HG02558	AFR	ACB	BB68	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242747/HG02558.final.cram
HG02577	AFR	ACB	BB69	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242748/HG02577.final.cram
HG02580	AFR	ACB	BB70	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242749/HG02580.final.cram
NA19625	AFR	ASW	2357	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239893/NA19625.final.cram
NA19703	AFR	ASW	2368	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239915/NA19703.final.cram
NA19704	AFR	ASW	2368	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239916/NA19704.final.cram
NA19707	AFR	ASW	2369	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239917/NA19707.final.cram
NA19711	AFR	ASW	2371	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239918/NA19711.final.cram
NA19712	AFR	ASW	2371	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239919/NA19712.final.cram
NA19713	AFR	ASW	2436	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239920/NA19713.final.cram
NA19818	AFR	ASW	2418	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239959/NA19818.final.cram
NA19819	AFR	ASW	2418	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239960/NA19819.final.cram
NA19900	AFR	ASW	2425	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239963/NA19900.final.cram
NA19901	AFR	ASW	2425	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239964/NA19901.final.cram
NA19904	AFR	ASW	2426	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239965/NA19904.final.cram
NA19913	AFR	ASW	2426a	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241771/NA19913.final.cram
NA19914	AFR	ASW	2430	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239968/NA19914.final.cram
NA19916	AFR	ASW	2431	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239969/NA19916.final.cram
NA19917	AFR	ASW	2431	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239970/NA19917.final.cram
NA19922	AFR	ASW	2434	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240095/NA19922.final.cram
NA19923	AFR	ASW	2434	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240096/NA19923.final.cram
NA19982	AFR	ASW	2436	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239973/NA19982.final.cram
NA19984	AFR	ASW	2437a	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240097/NA19984.final.cram
NA20126	AFR	ASW	2446	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239974/NA20126.final.cram
NA20127	AFR	ASW	2446	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239975/NA20127.final.cram
NA20274	AFR	ASW	2357a	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241772/NA20274.final.cram
NA20276	AFR	ASW	2466	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239976/NA20276.final.cram
NA20278	AFR	ASW	2467	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239977/NA20278.final.cram
NA20281	AFR	ASW	2469a	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239978/NA20281.final.cram
NA20287	AFR	ASW	2470	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239980/NA20287.final.cram
NA20289	AFR	ASW	2471	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239981/NA20289.final.cram
NA20291	AFR	ASW	2472	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239982/NA20291.final.cram
NA20294	AFR	ASW	2474	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239983/NA20294.final.cram
NA20296	AFR	ASW	2475	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239984/NA20296.final.cram
NA20298	AFR	ASW	2476a	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240098/NA20298.final.cram
NA20299	AFR	ASW	2476	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239985/NA20299.final.cram
NA20314	AFR	ASW	2479	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239986/NA20314.final.cram
NA20317	AFR	ASW	2480	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239987/NA20317.final.cram
NA20318	AFR	ASW	2480a	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241773/NA20318.final.cram
NA20320	AFR	ASW	2481a	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241774/NA20320.final.cram
NA20321	AFR	ASW	2481	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241775/NA20321.final.cram
NA20332	AFR	ASW	2483	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239988/NA20332.final.cram
NA20334	AFR	ASW	2484	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239989/NA20334.final.cram
NA20339	AFR	ASW	2486	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240099/NA20339.final.cram
NA20340	AFR	ASW	2487	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239990/NA20340.final.cram
NA20342	AFR	ASW	2488	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239991/NA20342.final.cram
NA20348	AFR	ASW	2491	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239993/NA20348.final.cram
NA20351	AFR	ASW	2493	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240100/NA20351.final.cram
NA20355	AFR	ASW	2484a	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241776/NA20355.final.cram
NA20356	AFR	ASW	2494	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239994/NA20356.final.cram
NA20357	AFR	ASW	2494	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239995/NA20357.final.cram
NA20359	AFR	ASW	2495	1	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239996/NA20359.final.cram
NA20362	AFR	ASW	2495a	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241777/NA20362.final.cram
NA20412	AFR	ASW	2505	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240101/NA20412.final.cram
HG02938	AFR	ESN	NG11	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242972/HG02938.final.cram
HG02941	AFR	ESN	NG12	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242973/HG02941.final.cram
HG02943	AFR	ESN	NG13	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242484/HG02943.final.cram
HG02944	AFR	ESN	NG13	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242483/HG02944.final.cram
HG02946	AFR	ESN	NG14	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242601/HG02946.final.cram
HG02947	AFR	ESN	NG14	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242600/HG02947.final.cram
HG02952	AFR	ESN	NG16	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242605/HG02952.final.cram
HG02953	AFR	ESN	NG16	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242604/HG02953.final.cram
HG02968	AFR	ESN	NG21	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242974/HG02968.final.cram
HG02970	AFR	ESN	NG22	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242603/HG02970.final.cram
HG02971	AFR	ESN	NG22	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242602/HG02971.final.cram
HG02973	AFR	ESN	NG23	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242486/HG02973.final.cram
HG02974	AFR	ESN	NG23	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242485/HG02974.final.cram
HG02979	AFR	ESN	NG25	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242975/HG02979.final.cram
HG02981	AFR	ESN	NG25	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242976/HG02981.final.cram
HG03099	AFR	ESN	NG26	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242488/HG03099.final.cram
HG03100	AFR	ESN	NG26	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242487/HG03100.final.cram
HG03103	AFR	ESN	NG27	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242977/HG03103.final.cram
HG03105	AFR	ESN	NG28	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242978/HG03105.final.cram
HG03108	AFR	ESN	NG29	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242490/HG03108.final.cram
HG03109	AFR	ESN	NG29	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242489/HG03109.final.cram
HG03111	AFR	ESN	NG30	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242979/HG03111.final.cram
HG03112	AFR	ESN	NG30	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242980/HG03112.final.cram
HG03114	AFR	ESN	NG31	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242492/HG03114.final.cram
HG03115	AFR	ESN	NG31	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242491/HG03115.final.cram
HG03117	AFR	ESN	NG32	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242609/HG03117.final.cram
HG03118	AFR	ESN	NG32	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242608/HG03118.final.cram
HG03120	AFR	ESN	NG33	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242494/HG03120.final.cram
HG03121	AFR	ESN	NG33	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242493/HG03121.final.cram
HG03123	AFR	ESN	NG34	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242496/HG03123.final.cram
HG03124	AFR	ESN	NG34	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242495/HG03124.final.cram
HG03126	AFR	ESN	NG35	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242981/HG03126.final.cram
HG03127	AFR	ESN	NG35	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242982/HG03127.final.cram
HG03132	AFR	ESN	NG37	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242498/HG03132.final.cram
HG03133	AFR	ESN	NG37	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242497/HG03133.final.cram
HG03135	AFR	ESN	NG38	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242500/HG03135.final.cram
HG03136	AFR	ESN	NG38	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242499/HG03136.final.cram
HG03157	AFR	ESN	NG45	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242984/HG03157.final.cram
HG03159	AFR	ESN	NG46	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242613/HG03159.final.cram
HG03160	AFR	ESN	NG46	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242612/HG03160.final.cram
HG03162	AFR	ESN	NG47	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242615/HG03162.final.cram
HG03163	AFR	ESN	NG47	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242614/HG03163.final.cram
HG03166	AFR	ESN	NG48	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242985/HG03166.final.cram
HG03168	AFR	ESN	NG49	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242617/HG03168.final.cram
HG03169	AFR	ESN	NG49	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242616/HG03169.final.cram
HG03172	AFR	ESN	NG50	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242618/HG03172.final.cram
HG03175	AFR	ESN	NG51	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242986/HG03175.final.cram
HG03189	AFR	ESN	NG56	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242987/HG03189.final.cram
HG03190	AFR	ESN	NG56	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242988/HG03190.final.cram
HG03193	AFR	ESN	NG57	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242989/HG03193.final.cram
HG03198	AFR	ESN	NG59	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242622/HG03198.final.cram
HG03199	AFR	ESN	NG59	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242621/HG03199.final.cram
HG03202	AFR	ESN	NG60	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242990/HG03202.final.cram
HG03265	AFR	ESN	NG63	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242991/HG03265.final.cram
HG03267	AFR	ESN	NG64	0	0	eligible	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242588/HG03267.final.cram
